"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","76.75","78.10","78.80","76.50","3.56M","-1.60%"
"Nov 26, 2020","78.00","78.10","79.85","77.40","2.93M","0.52%"
"Nov 25, 2020","77.60","78.00","79.70","77.60","3.22M","-1.46%"
"Nov 24, 2020","78.75","79.00","80.65","78.25","6.11M","0.13%"
"Nov 23, 2020","78.65","80.00","81.30","78.25","5.73M","-1.38%"
"Nov 20, 2020","79.75","75.70","81.35","75.70","12.25M","5.70%"
"Nov 19, 2020","75.45","74.85","75.45","74.30","1.71M","0.80%"
"Nov 18, 2020","74.85","74.80","75.70","74.75","1.45M","-0.27%"
"Nov 17, 2020","75.05","75.30","75.95","74.50","1.89M","-0.40%"
"Nov 16, 2020","75.35","75.75","76.60","75.20","2.63M","-0.33%"
"Nov 13, 2020","75.60","74.55","76.05","74.30","2.12M","1.89%"
"Nov 12, 2020","74.20","74.95","76.40","74.05","3.11M","-0.93%"
"Nov 11, 2020","74.90","77.35","77.55","74.70","4.07M","-2.54%"
"Nov 10, 2020","76.85","78.20","79.20","76.85","2.52M","-1.73%"
"Nov 09, 2020","78.20","81.80","82.25","77.75","4.37M","-3.69%"
"Nov 06, 2020","81.20","79.60","81.60","79.45","2.75M","2.07%"
"Nov 05, 2020","79.55","77.65","79.85","77.45","2.39M","2.65%"
"Nov 04, 2020","77.50","77.95","78.25","76.20","1.66M","-0.26%"
"Nov 03, 2020","77.70","74.35","77.70","74.25","3.67M","4.93%"
"Nov 02, 2020","74.05","73.90","74.90","73.20","2.06M","0.61%"
"Oct 30, 2020","73.60","76.45","76.45","73.60","2.36M","-4.66%"
"Oct 28, 2020","77.20","79.50","79.65","77.15","669.38K","-2.83%"
"Oct 27, 2020","79.45","78.85","80.70","78.30","1.97M","1.15%"
"Oct 26, 2020","78.55","78.00","83.75","76.50","4.74M","0.13%"
"Oct 23, 2020","78.45","79.10","79.55","78.30","802.48K","-0.76%"
"Oct 22, 2020","79.05","80.95","81.10","79.00","2.15M","-2.29%"
"Oct 21, 2020","80.90","80.20","81.60","80.00","3.20M","1.51%"
"Oct 20, 2020","79.70","79.95","80.15","79.40","1.14M","-0.31%"
"Oct 19, 2020","79.95","80.05","81.30","79.75","1.96M","0.76%"
"Oct 16, 2020","79.35","79.30","79.85","78.95","826.95K","0.13%"
"Oct 15, 2020","79.25","80.50","80.50","78.80","799.97K","-1.43%"
"Oct 14, 2020","80.40","79.70","80.65","79.40","1.30M","1.01%"
"Oct 13, 2020","79.60","80.80","80.85","79.55","836.95K","-1.49%"
"Oct 12, 2020","80.80","80.55","81.05","80.35","1.18M","0.56%"
"Oct 09, 2020","80.35","79.60","80.80","79.60","1.39M","1.26%"
"Oct 08, 2020","79.35","80.55","80.60","79.10","1.09M","-1.06%"
"Oct 07, 2020","80.20","80.00","80.60","79.75","870.03K","0.00%"
"Oct 06, 2020","80.20","81.90","82.00","80.20","1.73M","-1.78%"
"Oct 05, 2020","81.65","81.30","81.95","80.60","2.05M","2.06%"
"Oct 02, 2020","80.00","80.15","82.15","79.70","2.40M","0.06%"
"Oct 01, 2020","79.95","78.35","81.55","77.65","4.34M","2.63%"
"Sep 30, 2020","77.90","77.25","78.25","77.00","1.58M","0.91%"
"Sep 29, 2020","77.20","76.50","77.45","76.05","1.51M","1.38%"
"Sep 28, 2020","76.15","76.10","76.60","75.05","1.10M","-0.20%"
"Sep 25, 2020","76.30","76.10","76.60","75.70","991.79K","0.59%"
"Sep 24, 2020","75.85","76.40","76.50","75.55","1.09M","-0.98%"
"Sep 23, 2020","76.60","76.30","77.30","76.00","825.76K","0.07%"
"Sep 22, 2020","76.55","77.00","77.50","75.75","973.15K","-0.33%"
"Sep 21, 2020","76.80","80.80","81.15","76.80","1.42M","-4.83%"
"Sep 18, 2020","80.70","79.70","81.35","79.65","1.28M","1.45%"
"Sep 17, 2020","79.55","79.85","80.40","78.95","820.20K","-0.87%"
"Sep 16, 2020","80.25","79.50","81.10","79.50","1.15M","1.39%"
"Sep 15, 2020","79.15","78.25","79.80","78.25","1.55M","1.67%"
"Sep 14, 2020","77.85","77.15","78.25","77.00","865.81K","0.97%"
"Sep 11, 2020","77.10","77.00","77.45","76.75","552.16K","-0.19%"
"Sep 10, 2020","77.25","77.00","79.10","76.90","2.11M","0.52%"
"Sep 09, 2020","76.85","76.25","76.90","76.00","920.53K","0.72%"
"Sep 08, 2020","76.30","77.25","77.60","76.00","1.00M","-1.17%"
"Sep 07, 2020","77.20","76.80","77.65","76.45","618.87K","0.65%"
"Sep 04, 2020","76.70","76.65","76.75","75.85","1.05M","-0.39%"
"Sep 03, 2020","77.00","75.75","77.15","75.50","1.80M","1.52%"
"Sep 02, 2020","75.85","77.45","78.05","74.95","1.88M","-2.51%"
"Sep 01, 2020","77.80","78.40","79.30","74.50","2.10M","0.13%"
"Aug 31, 2020","77.70","78.85","79.20","77.70","965.42K","-1.33%"
"Aug 28, 2020","78.75","80.50","80.80","78.55","1.79M","-2.17%"
"Aug 27, 2020","80.50","79.00","81.10","78.15","2.12M","2.48%"
"Aug 26, 2020","78.55","78.45","79.45","76.90","1.79M","0.13%"
"Aug 25, 2020","78.45","81.00","81.25","78.10","1.02M","-2.91%"
"Aug 24, 2020","80.80","81.15","81.75","80.45","1.15M","-0.49%"
"Aug 21, 2020","81.20","83.25","83.40","81.10","1.09M","-2.17%"
"Aug 20, 2020","83.00","84.00","84.00","82.40","843.42K","-1.54%"
"Aug 19, 2020","84.30","81.40","84.30","81.25","1.62M","3.31%"
