"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","5.160","5.190","5.290","5.140","348.36M","-0.39%"
"Nov 26, 2020","5.180","5.240","5.260","5.090","395.19M","-0.38%"
"Nov 25, 2020","5.200","4.940","5.230","4.920","807.83M","5.69%"
"Nov 24, 2020","4.920","4.880","4.940","4.700","349.42M","2.07%"
"Nov 23, 2020","4.820","4.820","4.950","4.800","373.65M","0.21%"
"Nov 20, 2020","4.810","4.850","4.940","4.710","391.91M","-1.23%"
"Nov 19, 2020","4.870","4.670","4.980","4.600","1.11B","6.10%"
"Nov 18, 2020","4.590","4.230","4.590","4.230","599.27M","9.81%"
"Nov 17, 2020","4.180","4.350","4.380","4.170","334.89M","-4.57%"
"Nov 16, 2020","4.380","4.430","4.470","4.350","406.03M","0.46%"
"Nov 13, 2020","4.360","4.190","4.410","4.170","744.30M","5.06%"
"Nov 12, 2020","4.150","3.970","4.340","3.950","799.02M","4.80%"
"Nov 11, 2020","3.960","3.750","4.020","3.710","683.13M","6.17%"
"Nov 10, 2020","3.730","3.430","3.750","3.420","398.22M","7.18%"
"Nov 09, 2020","3.480","3.520","3.630","3.470","278.00M","0.87%"
"Nov 06, 2020","3.450","3.320","3.510","3.310","477.43M","3.92%"
"Nov 05, 2020","3.320","3.390","3.400","3.280","198.09M","-2.35%"
"Nov 04, 2020","3.400","3.270","3.450","3.250","484.45M","3.98%"
"Nov 03, 2020","3.270","3.450","3.450","3.130","448.80M","-4.11%"
"Nov 02, 2020","3.410","3.200","3.410","3.200","447.60M","10.00%"
"Oct 30, 2020","3.100","3.130","3.160","3.060","105.87M","-3.13%"
"Oct 28, 2020","3.200","3.240","3.290","3.190","88.20M","-2.44%"
"Oct 27, 2020","3.280","3.320","3.370","3.210","211.41M","-1.50%"
"Oct 26, 2020","3.330","3.440","3.540","3.320","215.26M","-4.31%"
"Oct 23, 2020","3.480","3.560","3.580","3.430","213.94M","-2.25%"
"Oct 22, 2020","3.560","3.640","3.680","3.560","138.67M","-2.47%"
"Oct 21, 2020","3.650","3.670","3.730","3.650","198.52M","0.27%"
"Oct 20, 2020","3.640","3.660","3.670","3.610","95.79M","-0.82%"
"Oct 19, 2020","3.670","3.730","3.750","3.670","122.79M","-0.27%"
"Oct 16, 2020","3.680","3.680","3.720","3.670","108.18M","0.55%"
"Oct 15, 2020","3.660","3.720","3.750","3.620","262.95M","-1.35%"
"Oct 14, 2020","3.710","3.640","3.720","3.590","265.74M","2.20%"
