"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","48.20","48.94","49.62","47.82","733.15K","-1.59%"
"Nov 26, 2020","48.98","49.10","49.80","46.70","855.31K","-0.57%"
"Nov 25, 2020","49.26","50.05","51.80","48.96","1.50M","-1.08%"
"Nov 24, 2020","49.80","47.36","49.96","47.36","1.79M","5.33%"
"Nov 23, 2020","47.28","46.62","47.86","46.06","1.71M","2.07%"
"Nov 20, 2020","46.32","46.60","47.80","46.06","1.24M","-0.60%"
"Nov 19, 2020","46.60","45.36","47.00","43.94","2.06M","2.73%"
"Nov 18, 2020","45.36","44.42","46.72","44.40","2.06M","1.57%"
"Nov 17, 2020","44.66","47.50","47.52","43.86","1.75M","-5.98%"
"Nov 16, 2020","47.50","48.06","49.08","46.50","2.03M","0.00%"
"Nov 13, 2020","47.50","45.00","48.24","45.00","4.37M","5.84%"
"Nov 12, 2020","44.88","43.50","45.80","43.50","3.33M","3.41%"
"Nov 11, 2020","43.40","43.44","43.78","42.44","1.81M","-0.09%"
"Nov 10, 2020","43.44","41.54","43.60","40.16","2.19M","3.92%"
"Nov 09, 2020","41.80","39.50","42.14","38.96","2.47M","7.84%"
"Nov 06, 2020","38.76","39.00","39.20","38.44","954.65K","-0.36%"
"Nov 05, 2020","38.90","39.20","39.42","38.40","1.23M","1.62%"
"Nov 04, 2020","38.28","37.30","38.52","36.98","1.87M","3.07%"
"Nov 03, 2020","37.14","37.60","37.92","36.58","1.27M","0.05%"
"Nov 02, 2020","37.12","38.00","38.58","37.02","1.92M","-1.54%"
"Oct 30, 2020","37.70","37.90","38.30","36.50","1.55M","-0.79%"
"Oct 28, 2020","38.00","39.64","39.80","38.00","710.72K","-4.43%"
"Oct 27, 2020","39.76","39.40","40.78","37.50","2.30M","-0.05%"
"Oct 26, 2020","39.78","43.80","43.86","39.78","2.35M","-10.00%"
"Oct 23, 2020","44.20","45.90","46.80","43.62","3.45M","-2.64%"
"Oct 22, 2020","45.40","44.04","46.14","43.78","3.39M","3.42%"
"Oct 21, 2020","43.90","45.80","45.88","43.62","2.05M","-2.92%"
"Oct 20, 2020","45.22","45.80","46.60","44.06","3.86M","-1.27%"
"Oct 19, 2020","45.80","44.88","46.62","44.86","4.03M","3.62%"
