"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","40.94","38.40","41.08","37.74","2.73M","9.58%"
"Nov 26, 2020","37.36","36.50","37.90","36.50","791.64K","2.58%"
"Nov 25, 2020","36.42","36.78","37.44","36.30","613.06K","-0.22%"
"Nov 24, 2020","36.50","37.00","37.64","36.30","570.76K","-0.22%"
"Nov 23, 2020","36.58","37.24","38.30","35.86","974.48K","-1.56%"
"Nov 20, 2020","37.16","34.92","37.96","34.92","1.45M","6.41%"
"Nov 19, 2020","34.92","35.40","35.78","34.30","253.25K","-0.96%"
"Nov 18, 2020","35.26","34.30","35.78","34.14","431.28K","2.50%"
"Nov 17, 2020","34.40","35.76","35.76","34.14","457.87K","-3.80%"
"Nov 16, 2020","35.76","36.94","36.94","35.76","564.12K","-2.45%"
"Nov 13, 2020","36.66","37.00","37.50","36.26","498.42K","-0.87%"
"Nov 12, 2020","36.98","38.12","39.52","36.28","950.74K","-2.99%"
"Nov 11, 2020","38.12","36.00","39.10","35.74","1.97M","6.78%"
"Nov 10, 2020","35.70","37.44","37.44","35.64","688.35K","-3.25%"
"Nov 09, 2020","36.90","36.88","38.68","35.30","2.22M","2.61%"
"Nov 06, 2020","35.96","32.82","35.96","32.82","1.76M","9.97%"
"Nov 05, 2020","32.70","32.26","32.86","31.80","541.63K","1.87%"
"Nov 04, 2020","32.10","32.48","32.50","31.64","459.24K","0.63%"
"Nov 03, 2020","31.90","32.18","33.00","30.80","542.47K","1.79%"
"Nov 02, 2020","31.34","30.18","31.50","30.18","390.81K","3.91%"
"Oct 30, 2020","30.16","29.20","31.64","27.80","1.20M","2.24%"
"Oct 28, 2020","29.50","30.30","30.68","29.50","146.06K","-2.32%"
"Oct 27, 2020","30.20","31.54","31.98","29.98","832.01K","-4.67%"
"Oct 26, 2020","31.68","32.30","32.30","29.32","691.81K","-2.52%"
"Oct 23, 2020","32.50","34.32","34.82","31.30","898.05K","-5.30%"
"Oct 22, 2020","34.32","38.50","39.80","32.82","2.97M","-5.82%"
"Oct 21, 2020","36.44","35.08","36.44","34.08","1.14M","9.96%"
"Oct 20, 2020","33.14","31.50","33.14","31.50","1.19M","9.95%"
"Oct 19, 2020","30.14","27.40","30.14","27.36","1.27M","10.00%"
"Oct 16, 2020","27.40","25.50","27.70","25.44","679.68K","7.79%"
"Oct 15, 2020","25.42","25.58","25.70","25.20","237.91K","-0.63%"
"Oct 14, 2020","25.58","25.64","25.82","25.10","302.32K","-0.23%"
"Oct 13, 2020","25.64","24.58","26.20","24.34","745.94K","4.31%"
"Oct 12, 2020","24.58","24.06","24.88","24.06","305.49K","2.42%"
"Oct 09, 2020","24.00","24.00","24.50","23.68","179.81K","0.08%"
"Oct 08, 2020","23.98","24.48","24.52","23.72","191.99K","-1.32%"
"Oct 07, 2020","24.30","24.70","24.70","24.00","335.30K","-1.62%"
"Oct 06, 2020","24.70","24.58","25.10","24.28","558.22K","1.98%"
"Oct 05, 2020","24.22","22.94","24.90","22.84","1.14M","6.70%"
"Oct 02, 2020","22.70","24.36","25.10","22.34","1.76M","-1.22%"
"Oct 01, 2020","22.98","20.94","22.98","20.74","619.16K","9.95%"
"Sep 30, 2020","20.90","20.32","21.00","20.30","304.61K","3.06%"
"Sep 29, 2020","20.28","20.22","20.52","19.86","340.50K","0.20%"
"Sep 28, 2020","20.24","20.66","20.74","20.10","268.94K","-2.03%"
"Sep 25, 2020","20.66","20.40","20.88","20.26","384.44K","1.97%"
"Sep 24, 2020","20.26","19.62","20.70","19.62","447.33K","2.58%"
"Sep 23, 2020","19.75","19.58","19.81","19.56","149.18K","0.30%"
"Sep 22, 2020","19.69","19.34","19.85","19.34","138.79K","1.81%"
"Sep 21, 2020","19.34","20.00","20.18","19.33","212.39K","-3.06%"
"Sep 18, 2020","19.95","19.65","20.00","19.30","386.01K","2.20%"
"Sep 17, 2020","19.52","20.06","20.06","19.12","311.20K","-2.01%"
"Sep 16, 2020","19.92","19.77","20.16","19.59","350.20K","1.63%"
"Sep 15, 2020","19.60","19.73","19.97","19.30","262.51K","-0.51%"
"Sep 14, 2020","19.70","19.12","19.82","19.05","285.11K","3.68%"
"Sep 11, 2020","19.00","18.95","19.10","18.66","121.47K","0.37%"
"Sep 10, 2020","18.93","19.50","19.50","18.80","251.72K","-2.02%"
"Sep 09, 2020","19.32","18.26","19.45","18.26","620.80K","5.40%"
"Sep 08, 2020","18.33","18.50","18.50","18.20","139.03K","-0.33%"
"Sep 07, 2020","18.39","18.24","18.52","18.24","135.94K","0.99%"
"Sep 04, 2020","18.21","18.23","18.39","18.13","70.15K","-0.11%"
"Sep 03, 2020","18.23","18.65","18.65","18.20","133.16K","-1.83%"
"Sep 02, 2020","18.57","18.84","18.88","18.51","150.97K","-0.16%"
"Sep 01, 2020","18.60","18.63","18.90","18.14","156.32K","-0.11%"
"Aug 31, 2020","18.62","18.45","18.88","18.30","163.14K","0.38%"
"Aug 28, 2020","18.55","18.88","18.93","18.48","125.06K","-1.17%"
"Aug 27, 2020","18.77","18.86","19.12","18.70","156.17K","-0.48%"
"Aug 26, 2020","18.86","18.50","19.15","18.48","374.32K","2.28%"
"Aug 25, 2020","18.44","18.87","19.30","18.33","245.13K","-1.50%"
"Aug 24, 2020","18.72","19.24","19.30","18.72","201.69K","-2.25%"
"Aug 21, 2020","19.15","20.00","20.40","19.02","349.42K","-3.28%"
"Aug 20, 2020","19.80","21.02","21.72","19.55","792.68K","-3.60%"
"Aug 19, 2020","20.54","20.30","20.90","20.10","379.68K","1.48%"
"Aug 18, 2020","20.24","19.38","20.58","19.19","448.05K","3.79%"
"Aug 17, 2020","19.50","21.10","21.60","19.20","942.24K","-5.98%"
"Aug 14, 2020","20.74","19.63","20.94","19.45","572.38K","5.65%"
"Aug 13, 2020","19.63","20.12","20.38","19.41","383.33K","-2.24%"
"Aug 12, 2020","20.08","19.26","21.02","18.55","1.19M","5.02%"
"Aug 11, 2020","19.12","18.42","19.48","18.40","436.95K","4.82%"
"Aug 10, 2020","18.24","17.70","18.25","17.51","245.34K","3.05%"
"Aug 07, 2020","17.70","16.92","17.88","16.51","348.21K","4.61%"
"Aug 06, 2020","16.92","17.34","17.50","16.55","252.98K","-1.63%"
"Aug 05, 2020","17.20","17.20","17.26","16.61","142.32K","0.88%"
"Aug 04, 2020","17.05","17.94","18.33","16.72","549.45K","-4.05%"
"Jul 30, 2020","17.77","17.34","17.92","17.15","159.52K","3.74%"
"Jul 29, 2020","17.13","17.00","17.30","16.50","181.85K","0.76%"
"Jul 28, 2020","17.00","17.34","17.40","16.97","338.56K","-1.79%"
"Jul 27, 2020","17.31","17.40","17.77","16.97","348.37K","-0.46%"
"Jul 24, 2020","17.39","16.90","17.61","16.80","333.63K","2.90%"
"Jul 23, 2020","16.90","16.65","17.00","16.49","235.66K","2.30%"
"Jul 22, 2020","16.52","16.80","17.09","16.48","303.21K","-1.14%"
"Jul 21, 2020","16.71","17.10","17.99","16.43","663.61K","-1.24%"
"Jul 20, 2020","16.92","16.80","17.23","16.78","327.32K","0.48%"
"Jul 17, 2020","16.84","16.84","17.00","16.67","124.54K","0.30%"
"Jul 16, 2020","16.79","16.80","16.92","16.66","112.84K","1.08%"
"Jul 14, 2020","16.61","16.51","17.50","16.45","306.23K","-0.30%"
"Jul 13, 2020","16.66","16.05","16.81","16.01","221.35K","4.06%"
"Jul 10, 2020","16.01","16.62","16.95","15.63","276.87K","-3.61%"
"Jul 09, 2020","16.61","17.48","17.48","16.61","128.21K","-4.98%"
"Jul 08, 2020","17.48","17.40","18.00","17.05","238.22K","0.87%"
"Jul 07, 2020","17.33","16.65","17.53","16.65","543.21K","4.15%"
"Jul 06, 2020","16.64","16.40","17.02","16.17","383.83K","2.59%"
"Jul 03, 2020","16.22","16.25","16.59","16.01","270.61K","-0.18%"
"Jul 02, 2020","16.25","16.18","16.94","15.55","1.23M","0.68%"
"Jul 01, 2020","16.14","15.09","16.59","15.05","1.40M","6.96%"
"Jun 30, 2020","15.09","14.93","15.32","14.93","161.96K","1.14%"
"Jun 29, 2020","14.92","14.90","15.08","14.88","76.56K","0.27%"
"Jun 26, 2020","14.88","14.80","14.98","14.70","139.87K","1.22%"
"Jun 25, 2020","14.70","14.95","14.95","14.64","85.33K","-1.01%"
"Jun 24, 2020","14.85","15.02","15.41","14.76","189.99K","-1.13%"
"Jun 23, 2020","15.02","15.05","15.14","14.83","218.72K","0.07%"
"Jun 22, 2020","15.01","14.57","15.60","14.57","354.57K","3.02%"
"Jun 19, 2020","14.57","14.55","14.70","14.52","138.99K","0.48%"
"Jun 18, 2020","14.50","14.41","14.70","14.41","162.70K","0.69%"
"Jun 17, 2020","14.40","14.50","14.75","14.36","256.26K","0.21%"
"Jun 16, 2020","14.37","14.05","14.40","14.02","268.12K","2.94%"
"Jun 15, 2020","13.96","13.71","14.16","13.70","214.15K","-0.07%"
"Jun 12, 2020","13.97","14.09","14.09","13.70","197.22K","-1.27%"
"Jun 11, 2020","14.15","14.31","14.90","14.05","333.41K","-1.12%"
"Jun 10, 2020","14.31","13.53","14.68","13.53","607.21K","5.45%"
"Jun 09, 2020","13.57","13.68","13.70","13.48","194.50K","0.07%"
