"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","227.00","242.00","242.70","226.80","882.14K","-5.42%"
"Nov 26, 2020","240.00","237.30","247.80","236.70","1.11M","1.22%"
"Nov 25, 2020","237.10","245.00","259.80","233.00","2.25M","0.21%"
"Nov 24, 2020","236.60","220.20","236.60","217.00","1.50M","10.00%"
"Nov 23, 2020","215.10","206.10","220.00","206.10","1.16M","5.39%"
"Nov 20, 2020","204.10","198.30","206.60","198.00","627.06K","3.13%"
"Nov 19, 2020","197.90","198.90","202.10","196.00","400.14K","-0.45%"
"Nov 18, 2020","198.80","192.70","203.50","192.70","704.09K","3.22%"
"Nov 17, 2020","192.60","198.80","198.80","192.10","269.84K","-3.17%"
"Nov 16, 2020","198.90","202.50","205.00","197.60","427.89K","-1.29%"
"Nov 13, 2020","201.50","194.00","202.50","193.80","612.15K","4.24%"
"Nov 12, 2020","193.30","200.70","203.50","191.90","653.39K","-3.59%"
"Nov 11, 2020","200.50","204.40","207.90","198.40","909.17K","-0.74%"
"Nov 10, 2020","202.00","200.70","207.90","200.70","995.97K","0.65%"
"Nov 09, 2020","200.70","207.10","219.90","200.00","1.97M","-1.71%"
"Nov 06, 2020","204.20","198.50","206.90","193.40","1.16M","3.13%"
"Nov 05, 2020","198.00","208.00","214.50","198.00","1.95M","-0.45%"
"Nov 04, 2020","198.90","185.50","198.90","184.70","1.45M","9.95%"
"Nov 03, 2020","180.90","182.70","186.80","174.00","812.59K","-0.22%"
"Nov 02, 2020","181.30","186.00","194.40","179.30","1.48M","0.11%"
"Oct 30, 2020","181.10","165.00","183.20","160.30","1.46M","8.64%"
"Oct 28, 2020","166.70","165.60","174.50","165.30","421.21K","-1.59%"
"Oct 27, 2020","169.40","164.70","172.70","161.00","1.34M","7.90%"
"Oct 26, 2020","157.00","169.90","169.90","155.10","558.87K","-7.92%"
"Oct 23, 2020","170.50","164.00","172.40","161.70","895.54K","3.96%"
"Oct 22, 2020","164.00","159.80","164.00","158.00","410.17K","2.56%"
"Oct 21, 2020","159.90","161.00","162.50","157.50","254.86K","-0.68%"
"Oct 20, 2020","161.00","162.00","163.60","158.20","425.84K","-0.49%"
"Oct 19, 2020","161.80","157.00","167.20","155.00","1.18M","6.45%"
"Oct 16, 2020","152.00","150.60","152.90","148.50","245.56K","1.33%"
"Oct 15, 2020","150.00","148.20","152.70","148.20","375.95K","1.35%"
"Oct 14, 2020","148.00","144.00","152.00","144.00","798.35K","2.85%"
"Oct 13, 2020","143.90","146.40","146.60","143.40","133.04K","-1.30%"
"Oct 12, 2020","145.80","146.00","147.30","145.10","169.11K","0.21%"
"Oct 09, 2020","145.50","141.80","146.00","141.80","280.86K","2.83%"
"Oct 08, 2020","141.50","144.10","145.00","141.40","154.98K","-1.67%"
"Oct 07, 2020","143.90","147.50","147.50","143.10","197.81K","-2.44%"
"Oct 06, 2020","147.50","147.20","152.40","147.00","478.24K","0.34%"
"Oct 05, 2020","147.00","140.70","148.60","140.70","597.06K","5.00%"
"Oct 02, 2020","140.00","137.40","140.30","136.70","333.07K","1.74%"
"Oct 01, 2020","137.60","138.60","138.80","136.00","190.84K","-0.15%"
"Sep 30, 2020","137.80","139.00","139.00","136.50","388.13K","-0.07%"
"Sep 29, 2020","137.90","139.40","140.90","137.90","267.38K","-0.58%"
"Sep 28, 2020","138.70","139.80","140.50","137.80","120.20K","-0.79%"
"Sep 25, 2020","139.80","139.20","140.60","138.70","111.54K","0.79%"
"Sep 24, 2020","138.70","137.90","139.10","137.20","94.81K","0.22%"
"Sep 23, 2020","138.40","140.00","140.40","137.80","77.65K","-0.29%"
"Sep 22, 2020","138.80","137.60","139.20","137.20","94.50K","0.95%"
"Sep 21, 2020","137.50","142.30","142.50","137.00","120.77K","-3.17%"
"Sep 18, 2020","142.00","145.90","146.70","142.00","146.70K","-2.61%"
"Sep 17, 2020","145.80","148.00","148.80","144.60","105.81K","-1.42%"
"Sep 16, 2020","147.90","144.90","148.30","143.10","153.67K","2.35%"
"Sep 15, 2020","144.50","145.10","148.00","142.70","204.37K","-0.34%"
"Sep 14, 2020","145.00","141.40","145.40","140.60","283.69K","4.32%"
"Sep 11, 2020","139.00","140.80","141.40","138.00","123.71K","-0.71%"
"Sep 10, 2020","140.00","138.30","143.40","137.70","316.02K","1.45%"
"Sep 09, 2020","138.00","139.00","139.60","137.60","138.79K","-0.72%"
"Sep 08, 2020","139.00","140.00","140.50","137.20","72.02K","0.07%"
"Sep 07, 2020","138.90","137.60","139.50","137.60","79.51K","1.02%"
"Sep 04, 2020","137.50","137.60","138.30","136.60","48.76K","-0.07%"
"Sep 03, 2020","137.60","138.70","138.90","137.40","45.53K","-0.65%"
"Sep 02, 2020","138.50","139.00","139.80","138.00","64.46K","-0.36%"
"Sep 01, 2020","139.00","140.30","140.30","136.30","82.67K","-0.71%"
"Aug 31, 2020","140.00","138.60","140.00","136.20","87.41K","1.16%"
"Aug 28, 2020","138.40","139.30","141.60","137.70","145.64K","0.07%"
"Aug 27, 2020","138.30","138.70","141.00","137.90","109.58K","0.22%"
"Aug 26, 2020","138.00","138.00","139.70","137.10","87.06K","-0.14%"
"Aug 25, 2020","138.20","138.30","140.60","136.70","101.29K","-0.07%"
