"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","8.230","8.140","8.460","8.090","44.85M","1.48%"
"Nov 26, 2020","8.110","8.140","8.160","8.060","9.76M","0.37%"
"Nov 25, 2020","8.080","8.360","8.380","8.070","19.79M","-1.82%"
"Nov 24, 2020","8.230","8.070","8.450","8.020","47.51M","2.87%"
"Nov 23, 2020","8.000","8.090","8.170","7.930","15.86M","-0.74%"
"Nov 20, 2020","8.060","7.990","8.170","7.970","18.38M","1.64%"
"Nov 19, 2020","7.930","7.950","8.040","7.840","8.82M","-0.13%"
"Nov 18, 2020","7.940","7.920","7.990","7.860","7.11M","0.51%"
"Nov 17, 2020","7.900","8.100","8.110","7.900","9.95M","-2.35%"
"Nov 16, 2020","8.090","8.120","8.160","8.040","11.09M","0.87%"
"Nov 13, 2020","8.020","8.000","8.070","7.880","8.95M","0.50%"
"Nov 12, 2020","7.980","8.250","8.270","7.840","14.72M","-2.68%"
"Nov 11, 2020","8.200","8.130","8.300","8.100","22.03M","1.86%"
"Nov 10, 2020","8.050","8.150","8.150","7.990","16.09M","-1.71%"
"Nov 09, 2020","8.190","7.740","8.290","7.720","27.83M","7.06%"
"Nov 06, 2020","7.650","7.560","7.710","7.520","14.06M","1.73%"
"Nov 05, 2020","7.520","7.520","7.580","7.440","11.58M","0.80%"
"Nov 04, 2020","7.460","7.390","7.500","7.330","10.68M","2.19%"
"Nov 03, 2020","7.300","7.370","7.420","7.200","8.26M","-0.41%"
"Nov 02, 2020","7.330","7.380","7.500","7.290","10.97M","-0.14%"
"Oct 30, 2020","7.340","7.200","7.960","7.090","36.98M","-0.81%"
"Oct 28, 2020","7.400","7.620","7.640","7.400","3.53M","-2.89%"
"Oct 27, 2020","7.620","7.600","7.800","7.300","15.53M","0.26%"
"Oct 26, 2020","7.600","8.400","8.400","7.600","19.18M","-9.95%"
"Oct 23, 2020","8.440","8.550","8.610","8.180","16.93M","-0.82%"
"Oct 22, 2020","8.510","8.470","8.580","8.380","17.09M","0.71%"
"Oct 21, 2020","8.450","8.580","8.650","8.450","18.03M","-0.94%"
"Oct 20, 2020","8.530","8.550","8.560","8.370","14.11M","0.00%"
"Oct 19, 2020","8.530","8.660","8.670","8.490","13.76M","1.07%"
"Oct 16, 2020","8.440","8.310","8.490","8.300","12.56M","2.18%"
"Oct 15, 2020","8.260","8.420","8.430","8.210","11.43M","-2.13%"
"Oct 14, 2020","8.440","8.770","8.820","8.410","24.46M","-2.76%"
"Oct 13, 2020","8.680","8.270","8.750","8.270","41.96M","5.85%"
"Oct 12, 2020","8.200","8.030","8.250","8.030","28.72M","2.37%"
"Oct 09, 2020","8.010","8.010","8.080","7.990","11.88M","0.63%"
"Oct 08, 2020","7.960","8.000","8.160","7.870","21.70M","-0.13%"
"Oct 07, 2020","7.970","7.990","8.040","7.950","6.83M","-0.38%"
"Oct 06, 2020","8.000","8.150","8.180","8.000","13.20M","-1.48%"
"Oct 05, 2020","8.120","8.010","8.160","7.990","15.41M","2.14%"
"Oct 02, 2020","7.950","7.990","8.080","7.950","9.65M","-0.63%"
"Oct 01, 2020","8.000","8.000","8.130","7.920","18.66M","1.01%"
"Sep 30, 2020","7.920","7.820","8.000","7.800","18.70M","2.06%"
"Sep 29, 2020","7.760","7.740","7.860","7.710","14.09M","0.65%"
"Sep 28, 2020","7.710","7.750","7.800","7.700","7.77M","-0.39%"
"Sep 25, 2020","7.740","7.790","7.860","7.740","15.10M","-0.13%"
"Sep 24, 2020","7.750","7.750","7.810","7.710","6.03M","-0.26%"
"Sep 23, 2020","7.770","7.830","7.880","7.760","6.22M","0.00%"
"Sep 22, 2020","7.770","7.820","7.850","7.690","6.29M","-0.77%"
"Sep 21, 2020","7.830","8.080","8.090","7.800","10.15M","-3.09%"
"Sep 18, 2020","8.080","8.120","8.190","8.080","17.37M","0.12%"
"Sep 17, 2020","8.070","8.000","8.090","7.970","14.20M","0.62%"
"Sep 16, 2020","8.020","8.000","8.120","7.970","16.24M","0.75%"
"Sep 15, 2020","7.960","7.960","8.070","7.830","13.71M","0.13%"
"Sep 14, 2020","7.950","7.930","8.010","7.890","6.17M","0.51%"
"Sep 11, 2020","7.910","7.980","8.020","7.880","6.22M","-0.38%"
"Sep 10, 2020","7.940","8.020","8.130","7.930","12.14M","-0.63%"
"Sep 09, 2020","7.990","7.900","8.270","7.810","38.55M","1.27%"
"Sep 08, 2020","7.890","8.120","8.140","7.890","10.00M","-2.11%"
"Sep 07, 2020","8.060","7.870","8.120","7.870","18.06M","4.00%"
"Sep 04, 2020","7.750","7.590","7.810","7.580","14.01M","2.24%"
"Sep 03, 2020","7.580","7.750","7.790","7.540","7.62M","-1.43%"
"Sep 02, 2020","7.690","7.620","7.800","7.580","11.98M","1.05%"
"Sep 01, 2020","7.610","7.550","7.640","7.440","5.34M","0.93%"
"Aug 31, 2020","7.540","7.690","7.810","7.530","7.06M","-1.82%"
"Aug 28, 2020","7.680","7.810","7.840","7.660","7.58M","-1.03%"
"Aug 27, 2020","7.760","7.640","8.050","7.630","24.54M","2.11%"
"Aug 26, 2020","7.600","7.440","7.630","7.370","10.14M","2.15%"
"Aug 25, 2020","7.440","7.730","7.790","7.370","7.68M","-3.38%"
"Aug 24, 2020","7.700","7.690","7.830","7.670","7.39M","0.39%"
"Aug 21, 2020","7.670","8.050","8.110","7.670","9.35M","-3.52%"
"Aug 20, 2020","7.950","7.800","8.180","7.700","21.16M","1.40%"
"Aug 19, 2020","7.840","7.730","7.870","7.710","12.33M","2.08%"
"Aug 18, 2020","7.680","7.650","7.880","7.610","11.90M","0.39%"
"Aug 17, 2020","7.650","7.690","7.810","7.510","8.35M","-0.52%"
"Aug 14, 2020","7.690","7.740","7.800","7.640","4.92M","-1.66%"
"Aug 13, 2020","7.820","8.070","8.130","7.800","8.06M","-2.98%"
"Aug 12, 2020","8.060","8.200","8.220","7.950","10.53M","-0.86%"
"Aug 11, 2020","8.130","8.080","8.370","7.800","17.63M","0.74%"
"Aug 10, 2020","8.070","7.570","8.250","7.200","26.35M","5.35%"
"Aug 07, 2020","7.660","7.420","7.680","6.760","19.12M","3.23%"
"Aug 06, 2020","7.420","8.060","8.180","7.360","13.44M","-8.40%"
