"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","4.230","4.150","4.280","4.120","408.35M","2.42%"
"Nov 26, 2020","4.130","4.120","4.140","4.060","146.78M","1.23%"
"Nov 25, 2020","4.080","4.090","4.160","4.050","253.26M","0.74%"
"Nov 24, 2020","4.050","3.950","4.050","3.910","150.70M","3.32%"
"Nov 23, 2020","3.920","4.050","4.050","3.880","141.20M","-2.97%"
"Nov 20, 2020","4.040","4.080","4.180","4.030","152.33M","-1.06%"
"Nov 19, 2020","4.083","3.942","4.125","3.908","396.70M","4.26%"
"Nov 18, 2020","3.917","3.767","3.950","3.767","207.87M","4.44%"
"Nov 17, 2020","3.750","3.883","3.908","3.733","142.90M","-4.05%"
"Nov 16, 2020","3.908","3.992","4.017","3.900","198.68M","-1.26%"
"Nov 13, 2020","3.958","3.933","3.983","3.892","333.94M","2.15%"
"Nov 12, 2020","3.875","3.833","3.975","3.817","469.34M","1.53%"
"Nov 11, 2020","3.817","3.783","3.875","3.733","399.03M","1.55%"
"Nov 10, 2020","3.758","3.625","3.767","3.617","253.16M","2.73%"
"Nov 09, 2020","3.658","3.633","3.767","3.592","512.78M","2.33%"
"Nov 06, 2020","3.575","3.542","3.600","3.525","209.19M","0.70%"
"Nov 05, 2020","3.550","3.575","3.642","3.500","290.16M","0.00%"
"Nov 04, 2020","3.550","3.517","3.558","3.475","263.42M","1.43%"
"Nov 03, 2020","3.500","3.433","3.567","3.433","346.49M","2.44%"
"Nov 02, 2020","3.417","3.433","3.500","3.408","185.28M","-0.24%"
"Oct 30, 2020","3.425","3.300","3.525","3.267","312.83M","1.99%"
"Oct 28, 2020","3.358","3.458","3.492","3.342","90.29M","-3.82%"
"Oct 27, 2020","3.492","3.275","3.508","3.242","248.22M","6.62%"
"Oct 26, 2020","3.275","3.483","3.492","3.267","213.32M","-6.65%"
"Oct 23, 2020","3.508","3.592","3.625","3.467","142.45M","-2.32%"
"Oct 22, 2020","3.592","3.692","3.717","3.592","167.68M","-2.71%"
"Oct 21, 2020","3.692","3.775","3.783","3.683","105.18M","-1.34%"
"Oct 20, 2020","3.742","3.733","3.775","3.667","207.36M","0.22%"
"Oct 19, 2020","3.733","3.792","3.817","3.717","203.44M","-3.24%"
"Oct 16, 2020","3.858","3.950","3.983","3.858","319.63M","-1.49%"
"Oct 15, 2020","3.917","4.008","4.042","3.892","514.87M","-3.09%"
"Oct 14, 2020","4.042","3.783","4.125","3.783","1.64B","6.83%"
"Oct 13, 2020","3.783","3.858","3.892","3.775","147.60M","-1.94%"
"Oct 12, 2020","3.858","3.858","3.967","3.817","474.89M","0.43%"
"Oct 09, 2020","3.842","3.708","3.867","3.675","563.47M","4.06%"
"Oct 08, 2020","3.692","3.708","3.783","3.625","343.68M","0.68%"
"Oct 07, 2020","3.667","3.567","3.683","3.558","253.54M","2.33%"
"Oct 06, 2020","3.583","3.633","3.642","3.567","146.11M","-1.15%"
"Oct 05, 2020","3.625","3.567","3.642","3.567","147.47M","2.35%"
"Oct 02, 2020","3.542","3.458","3.575","3.458","205.24M","1.92%"
"Oct 01, 2020","3.475","3.508","3.533","3.475","135.31M","-0.71%"
"Sep 30, 2020","3.500","3.483","3.508","3.467","78.73M","1.20%"
"Sep 29, 2020","3.458","3.492","3.533","3.450","148.35M","-0.48%"
"Sep 28, 2020","3.475","3.483","3.533","3.467","172.09M","-1.18%"
