"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","61.700","64.300","64.600","61.500","7.86M","-3.14%"
"Nov 26, 2020","63.700","63.000","64.100","62.200","11.73M","4.08%"
"Nov 25, 2020","61.200","58.650","62.450","58.050","20.80M","5.25%"
"Nov 24, 2020","58.150","56.800","58.150","55.900","9.08M","4.30%"
"Nov 23, 2020","55.750","56.300","57.500","54.750","9.20M","0.09%"
"Nov 20, 2020","55.700","55.250","57.100","55.150","7.84M","1.92%"
"Nov 19, 2020","54.650","55.000","56.800","54.500","8.79M","-0.27%"
"Nov 18, 2020","54.800","53.000","55.650","52.900","8.67M","3.30%"
"Nov 17, 2020","53.050","56.150","56.150","53.050","8.09M","-5.94%"
"Nov 16, 2020","56.400","54.900","58.600","54.900","21.74M","2.83%"
"Nov 13, 2020","54.850","58.000","58.750","54.750","12.31M","-6.24%"
"Nov 12, 2020","58.500","54.350","59.450","53.600","27.31M","7.64%"
"Nov 11, 2020","54.350","54.100","56.650","52.200","24.26M","1.78%"
"Nov 10, 2020","53.400","49.420","53.400","49.100","35.21M","9.92%"
"Nov 09, 2020","48.580","44.700","48.580","44.420","9.51M","9.96%"
"Nov 06, 2020","44.180","44.740","44.800","43.980","5.22M","0.18%"
"Nov 05, 2020","44.100","44.520","45.300","43.900","6.49M","-1.12%"
"Nov 04, 2020","44.600","42.040","45.560","41.960","11.92M","6.19%"
"Nov 03, 2020","42.000","43.440","44.540","41.400","10.11M","-3.31%"
"Nov 02, 2020","43.440","39.560","43.440","39.300","5.87M","9.97%"
"Oct 30, 2020","39.500","40.280","40.280","38.780","3.26M","-3.19%"
"Oct 28, 2020","40.800","42.260","42.300","40.800","1.19M","-4.00%"
"Oct 27, 2020","42.500","42.880","43.380","41.480","2.37M","-0.93%"
"Oct 26, 2020","42.900","45.400","45.420","42.900","2.63M","-6.25%"
"Oct 23, 2020","45.760","45.920","46.560","45.420","2.46M","-0.31%"
"Oct 22, 2020","45.900","46.280","46.440","45.820","2.33M","-0.86%"
"Oct 21, 2020","46.300","46.960","47.020","46.280","2.33M","-0.81%"
"Oct 20, 2020","46.680","47.340","48.020","46.660","3.59M","-0.77%"
"Oct 19, 2020","47.040","46.740","47.420","46.480","3.66M","1.16%"
"Oct 16, 2020","46.500","46.140","47.200","46.000","3.70M","0.96%"
"Oct 15, 2020","46.060","46.860","47.140","46.020","2.28M","-2.12%"
"Oct 14, 2020","47.060","47.120","47.380","46.820","2.66M","-0.08%"
"Oct 13, 2020","47.100","48.000","48.200","47.100","3.81M","-1.51%"
"Oct 12, 2020","47.820","47.140","48.520","47.020","6.32M","1.70%"
"Oct 09, 2020","47.020","46.740","47.280","46.680","2.73M","0.73%"
"Oct 08, 2020","46.680","47.040","47.160","46.600","2.59M","0.00%"
"Oct 07, 2020","46.680","46.740","47.080","46.500","2.39M","-0.30%"
"Oct 06, 2020","46.820","47.280","47.540","46.700","4.26M","-0.64%"
"Oct 05, 2020","47.120","46.960","47.780","46.900","3.71M","0.73%"
"Oct 02, 2020","46.780","46.540","47.760","46.260","8.77M","0.04%"
"Oct 01, 2020","46.760","46.400","48.320","46.280","10.48M","1.21%"
"Sep 30, 2020","46.200","45.740","46.340","45.680","2.82M","1.18%"
"Sep 29, 2020","45.660","45.820","46.180","45.340","2.45M","-0.26%"
"Sep 28, 2020","45.780","45.800","47.280","45.400","5.89M","-0.26%"
"Sep 25, 2020","45.900","46.300","46.820","45.780","4.45M","-0.43%"
"Sep 24, 2020","46.100","46.000","46.380","45.520","3.52M","0.09%"
"Sep 23, 2020","46.060","46.100","47.000","45.880","7.80M","0.39%"
"Sep 22, 2020","45.880","45.400","46.000","44.940","2.87M","1.50%"
"Sep 21, 2020","45.200","46.700","46.760","45.140","2.71M","-3.21%"
"Sep 18, 2020","46.700","47.300","47.460","46.600","2.17M","-0.76%"
"Sep 17, 2020","47.060","46.220","47.340","46.000","3.83M","1.64%"
"Sep 16, 2020","46.300","47.040","47.380","46.160","3.01M","-0.77%"
"Sep 15, 2020","46.660","47.900","47.960","46.200","4.08M","-2.38%"
"Sep 14, 2020","47.800","48.440","49.600","47.640","7.59M","-1.20%"
"Sep 11, 2020","48.380","46.000","48.660","45.960","16.33M","5.17%"
"Sep 10, 2020","46.000","45.580","46.220","45.320","5.57M","0.97%"
