"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","9.99","10.32","10.37","9.98","12.56M","-2.54%"
"Nov 26, 2020","10.25","10.32","10.32","10.17","9.16M","0.69%"
"Nov 25, 2020","10.18","10.33","10.37","10.16","13.18M","-0.68%"
"Nov 24, 2020","10.25","10.52","10.67","10.14","18.82M","-2.29%"
"Nov 23, 2020","10.49","10.83","10.83","10.29","14.86M","-2.96%"
"Nov 20, 2020","10.81","10.90","10.94","10.74","14.71M","-1.01%"
"Nov 19, 2020","10.92","10.45","11.03","10.24","32.36M","4.00%"
"Nov 18, 2020","10.50","10.11","10.52","10.07","19.66M","3.65%"
"Nov 17, 2020","10.13","10.53","10.53","9.93","19.97M","-3.80%"
"Nov 16, 2020","10.53","10.84","10.99","10.44","36.56M","-1.59%"
"Nov 13, 2020","10.70","10.49","10.84","10.49","29.94M","2.29%"
"Nov 12, 2020","10.46","10.03","10.57","9.93","55.79M","4.29%"
"Nov 11, 2020","10.03","9.55","10.08","9.42","33.20M","6.03%"
"Nov 10, 2020","9.46","9.44","9.61","9.32","21.56M","-0.32%"
"Nov 09, 2020","9.49","9.12","9.54","9.01","40.67M","6.27%"
"Nov 06, 2020","8.93","8.98","8.98","8.79","12.98M","-0.11%"
"Nov 05, 2020","8.94","9.01","9.12","8.85","18.10M","1.25%"
"Nov 04, 2020","8.83","8.73","8.84","8.65","14.15M","1.15%"
"Nov 03, 2020","8.73","8.49","8.78","8.36","15.78M","3.31%"
"Nov 02, 2020","8.45","8.23","8.45","8.20","12.26M","2.67%"
"Oct 30, 2020","8.23","8.02","8.23","7.85","13.91M","1.60%"
"Oct 28, 2020","8.10","8.19","8.22","8.07","5.59M","-0.98%"
"Oct 27, 2020","8.18","8.04","8.32","8.04","11.66M","0.62%"
"Oct 26, 2020","8.13","8.30","8.30","8.06","11.35M","-3.21%"
"Oct 23, 2020","8.40","8.54","8.54","8.37","8.71M","-2.10%"
"Oct 22, 2020","8.58","8.73","8.73","8.34","22.18M","-1.38%"
"Oct 21, 2020","8.70","8.89","8.90","8.70","14.82M","-1.25%"
"Oct 20, 2020","8.81","8.79","9.01","8.79","45.09M","0.46%"
"Oct 19, 2020","8.77","8.60","8.86","8.55","20.29M","2.45%"
"Oct 16, 2020","8.56","8.37","8.56","8.37","11.60M","2.64%"
"Oct 15, 2020","8.34","8.49","8.50","8.34","8.27M","-2.11%"
"Oct 14, 2020","8.52","8.47","8.55","8.38","11.10M","0.59%"
"Oct 13, 2020","8.47","8.63","8.63","8.42","10.38M","-1.63%"
"Oct 12, 2020","8.61","8.54","8.63","8.46","10.48M","1.29%"
"Oct 09, 2020","8.50","8.41","8.56","8.37","7.82M","1.07%"
"Oct 08, 2020","8.41","8.36","8.41","8.26","10.39M","0.72%"
"Oct 07, 2020","8.35","8.38","8.41","8.31","8.73M","-0.71%"
"Oct 06, 2020","8.41","8.43","8.53","8.36","12.91M","0.00%"
"Oct 05, 2020","8.41","8.40","8.47","8.35","7.61M","0.36%"
"Oct 02, 2020","8.38","8.18","8.38","8.17","10.60M","1.82%"
"Oct 01, 2020","8.23","8.38","8.39","8.22","9.61M","-1.08%"
"Sep 30, 2020","8.32","8.10","8.32","8.08","15.82M","3.74%"
"Sep 29, 2020","8.02","7.89","8.06","7.86","13.98M","1.78%"
"Sep 28, 2020","7.88","7.96","8.04","7.83","9.82M","-1.01%"
"Sep 25, 2020","7.96","7.96","8.09","7.92","22.51M","1.27%"
"Sep 24, 2020","7.86","7.45","7.86","7.43","26.62M","5.50%"
"Sep 23, 2020","7.45","7.44","7.52","7.38","20.96M","0.81%"
"Sep 22, 2020","7.39","7.47","7.50","7.36","12.34M","-0.81%"
"Sep 21, 2020","7.45","7.77","7.78","7.44","13.04M","-4.12%"
"Sep 18, 2020","7.77","7.80","7.81","7.74","12.41M","-0.13%"
"Sep 17, 2020","7.78","7.78","7.82","7.75","8.47M","-0.64%"
"Sep 16, 2020","7.83","7.93","7.95","7.81","5.89M","-0.89%"
"Sep 15, 2020","7.90","7.93","7.95","7.86","5.89M","-0.13%"
"Sep 14, 2020","7.91","7.92","7.94","7.87","5.86M","0.38%"
"Sep 11, 2020","7.88","7.91","7.93","7.86","5.74M","-0.38%"
"Sep 10, 2020","7.91","7.92","7.97","7.86","8.71M","0.25%"
"Sep 09, 2020","7.89","7.84","7.90","7.79","7.00M","0.51%"
"Sep 08, 2020","7.85","7.91","7.95","7.79","8.31M","-0.51%"
"Sep 07, 2020","7.89","7.85","7.89","7.83","5.23M","1.02%"
"Sep 04, 2020","7.81","7.82","7.88","7.78","6.28M","-0.26%"
"Sep 03, 2020","7.83","7.90","7.92","7.75","9.47M","-0.51%"
"Sep 02, 2020","7.87","7.89","7.94","7.81","9.56M","-0.25%"
"Sep 01, 2020","7.89","7.75","7.90","7.69","13.45M","2.07%"
"Aug 31, 2020","7.73","7.89","7.89","7.73","19.39M","-2.15%"
"Aug 28, 2020","7.90","8.07","8.08","7.85","14.12M","-1.86%"
"Aug 27, 2020","8.05","8.10","8.13","8.02","10.49M","0.12%"
"Aug 26, 2020","8.04","8.00","8.09","7.93","12.10M","0.25%"
"Aug 25, 2020","8.02","8.35","8.39","7.95","13.37M","-3.37%"
"Aug 24, 2020","8.30","8.21","8.36","8.18","11.60M","0.97%"
"Aug 21, 2020","8.22","8.24","8.37","8.05","23.51M","1.36%"
"Aug 20, 2020","8.11","8.24","8.24","8.03","15.57M","-1.58%"
"Aug 19, 2020","8.24","8.04","8.30","7.95","22.51M","2.87%"
"Aug 18, 2020","8.01","7.93","8.08","7.87","10.58M","0.88%"
"Aug 17, 2020","7.94","7.91","7.94","7.81","9.40M","0.38%"
"Aug 14, 2020","7.91","8.14","8.14","7.86","11.76M","-2.22%"
"Aug 13, 2020","8.09","8.21","8.25","8.03","12.15M","-1.46%"
"Aug 12, 2020","8.21","8.06","8.25","7.95","23.30M","3.01%"
"Aug 11, 2020","7.97","7.85","8.00","7.82","24.08M","1.92%"
"Aug 10, 2020","7.82","7.75","8.00","7.69","14.54M","0.13%"
"Aug 07, 2020","7.81","7.78","7.96","7.54","20.72M","-0.38%"
"Aug 06, 2020","7.84","8.19","8.24","7.81","18.51M","-4.39%"
"Aug 05, 2020","8.20","8.23","8.31","8.09","13.45M","0.74%"
"Aug 04, 2020","8.14","8.45","8.60","8.03","15.00M","-2.86%"
"Jul 30, 2020","8.38","8.60","8.61","8.33","4.87M","-2.67%"
"Jul 29, 2020","8.61","8.87","8.88","8.51","10.09M","-2.82%"
"Jul 28, 2020","8.86","9.07","9.07","8.85","8.46M","-2.42%"
"Jul 27, 2020","9.08","9.15","9.18","9.06","5.68M","-0.55%"
"Jul 24, 2020","9.13","9.15","9.15","9.05","5.90M","-0.22%"
"Jul 23, 2020","9.15","9.20","9.26","9.15","7.22M","0.00%"
"Jul 22, 2020","9.15","9.25","9.31","9.11","7.91M","-0.54%"
"Jul 21, 2020","9.20","9.49","9.52","9.12","9.06M","-2.54%"
"Jul 20, 2020","9.44","9.46","9.48","9.36","7.05M","-0.11%"
"Jul 17, 2020","9.45","9.44","9.55","9.40","10.28M","0.53%"
"Jul 16, 2020","9.40","9.53","9.63","9.40","12.63M","-1.26%"
"Jul 14, 2020","9.52","9.30","9.57","9.29","15.81M","2.04%"
"Jul 13, 2020","9.33","9.19","9.36","9.17","11.27M","2.53%"
"Jul 10, 2020","9.10","9.24","9.26","9.06","16.26M","-1.94%"
"Jul 09, 2020","9.28","9.30","9.47","9.23","24.11M","0.32%"
"Jul 08, 2020","9.25","9.21","9.41","9.19","18.82M","0.54%"
"Jul 07, 2020","9.20","9.26","9.29","9.15","15.24M","-0.54%"
"Jul 06, 2020","9.25","9.22","9.31","9.18","11.30M","1.54%"
"Jul 03, 2020","9.11","9.30","9.31","9.07","12.07M","-1.83%"
"Jul 02, 2020","9.28","9.21","9.38","9.19","13.57M","1.09%"
"Jul 01, 2020","9.18","9.28","9.33","9.12","14.14M","-0.65%"
"Jun 30, 2020","9.24","9.22","9.32","9.19","16.89M","0.87%"
"Jun 29, 2020","9.16","9.10","9.27","9.07","15.19M","0.44%"
"Jun 26, 2020","9.12","9.16","9.18","9.09","6.47M","0.33%"
"Jun 25, 2020","9.09","9.00","9.14","8.97","9.48M","1.00%"
"Jun 24, 2020","9.00","9.22","9.22","9.00","8.12M","-2.28%"
"Jun 23, 2020","9.21","9.30","9.36","9.21","9.81M","-0.54%"
"Jun 22, 2020","9.26","9.28","9.32","9.20","16.80M","0.65%"
"Jun 19, 2020","9.20","9.19","9.29","9.08","24.20M","1.10%"
"Jun 18, 2020","9.10","9.02","9.18","8.98","15.23M","1.45%"
"Jun 17, 2020","8.97","9.09","9.12","8.97","10.09M","-0.99%"
"Jun 16, 2020","9.06","9.15","9.23","9.06","10.95M","0.11%"
"Jun 15, 2020","9.05","9.05","9.09","8.97","10.83M","-0.44%"
"Jun 12, 2020","9.09","8.90","9.17","8.85","14.04M","1.34%"
"Jun 11, 2020","8.97","8.98","9.03","8.90","5.78M","-0.55%"
"Jun 10, 2020","9.02","9.04","9.11","8.99","7.08M","-0.22%"
"Jun 09, 2020","9.04","9.12","9.13","8.96","5.80M","-0.66%"
"Jun 08, 2020","9.10","9.13","9.16","8.99","8.32M","-0.22%"
