"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","11.400","11.060","11.740","11.030","46.07M","6.74%"
"Nov 26, 2020","10.680","9.860","10.680","9.860","16.96M","9.99%"
"Nov 25, 2020","9.710","9.410","9.820","9.410","7.37M","3.30%"
"Nov 24, 2020","9.400","9.540","9.560","9.400","2.63M","-1.16%"
"Nov 23, 2020","9.510","9.540","9.680","9.410","4.13M","0.32%"
"Nov 20, 2020","9.480","9.490","9.580","9.450","2.99M","0.42%"
"Nov 19, 2020","9.440","9.380","9.530","9.250","3.25M","0.85%"
"Nov 18, 2020","9.360","9.530","9.670","9.310","3.63M","-1.37%"
"Nov 17, 2020","9.490","9.330","9.870","9.330","12.82M","2.48%"
"Nov 16, 2020","9.260","9.340","9.470","9.220","4.44M","-0.43%"
"Nov 13, 2020","9.300","9.060","9.350","9.060","3.64M","3.45%"
"Nov 12, 2020","8.990","9.300","9.360","8.880","3.99M","-2.92%"
"Nov 11, 2020","9.260","9.440","9.620","9.240","5.82M","-1.59%"
"Nov 10, 2020","9.410","9.300","9.520","9.210","3.59M","0.32%"
"Nov 09, 2020","9.380","9.880","9.960","9.270","6.99M","-4.19%"
"Nov 06, 2020","9.790","9.750","9.930","9.710","5.79M","0.93%"
"Nov 05, 2020","9.700","9.630","9.740","9.520","6.34M","1.04%"
"Nov 04, 2020","9.600","9.520","9.690","9.450","4.90M","1.16%"
"Nov 03, 2020","9.490","9.460","9.730","9.050","6.14M","0.53%"
"Nov 02, 2020","9.440","9.150","9.800","9.030","12.04M","3.96%"
"Oct 30, 2020","9.080","9.260","9.260","8.780","4.62M","-2.99%"
"Oct 28, 2020","9.360","9.500","9.660","9.360","3.48M","-0.85%"
"Oct 27, 2020","9.440","9.640","9.970","9.320","10.88M","-1.87%"
"Oct 26, 2020","9.620","9.560","10.320","9.300","27.33M","0.94%"
"Oct 23, 2020","9.530","9.580","9.780","9.430","4.31M","-0.10%"
"Oct 22, 2020","9.540","9.660","9.860","9.370","4.19M","-1.04%"
"Oct 21, 2020","9.640","9.850","9.870","9.600","2.79M","-2.03%"
"Oct 20, 2020","9.840","10.000","10.050","9.820","3.76M","-1.60%"
"Oct 19, 2020","10.000","9.820","10.150","9.720","11.04M","1.83%"
"Oct 16, 2020","9.820","9.810","9.940","9.650","6.06M","0.61%"
"Oct 15, 2020","9.760","9.780","10.360","9.560","26.34M","0.31%"
"Oct 14, 2020","9.730","9.610","9.810","9.390","5.92M","1.67%"
"Oct 13, 2020","9.570","9.600","9.660","9.410","4.26M","-0.10%"
"Oct 12, 2020","9.580","9.420","9.750","9.180","7.90M","2.24%"
"Oct 09, 2020","9.370","9.770","9.800","9.330","9.12M","-4.09%"
"Oct 08, 2020","9.770","8.950","9.770","8.950","18.69M","9.53%"
"Oct 07, 2020","8.920","8.580","8.940","8.530","5.82M","3.72%"
"Oct 06, 2020","8.600","8.740","8.770","8.590","2.08M","-1.38%"
"Oct 05, 2020","8.720","8.700","8.740","8.640","2.44M","1.16%"
"Oct 02, 2020","8.620","8.490","8.650","8.440","2.18M","2.13%"
