"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","6.880","7.040","7.050","6.850","126.62M","-2.13%"
"Nov 26, 2020","7.030","7.010","7.050","6.980","110.60M","0.72%"
"Nov 25, 2020","6.980","7.060","7.160","6.980","169.96M","-0.71%"
"Nov 24, 2020","7.030","7.130","7.150","6.970","167.35M","-0.71%"
"Nov 23, 2020","7.080","7.130","7.260","6.950","355.00M","0.85%"
"Nov 20, 2020","7.020","6.740","7.050","6.740","340.94M","4.31%"
"Nov 19, 2020","6.730","6.670","6.770","6.600","122.48M","0.75%"
"Nov 18, 2020","6.680","6.580","6.710","6.580","141.07M","1.83%"
"Nov 17, 2020","6.560","6.780","6.780","6.560","109.07M","-3.53%"
"Nov 16, 2020","6.800","6.860","6.910","6.790","123.94M","-0.15%"
"Nov 13, 2020","6.810","6.760","6.840","6.750","114.59M","0.89%"
"Nov 12, 2020","6.750","6.880","6.990","6.710","305.63M","-1.32%"
"Nov 11, 2020","6.840","6.780","6.960","6.760","254.29M","1.48%"
"Nov 10, 2020","6.740","6.700","6.780","6.670","98.71M","-0.30%"
"Nov 09, 2020","6.760","6.690","6.870","6.670","170.49M","2.42%"
"Nov 06, 2020","6.600","6.620","6.640","6.540","127.37M","-0.45%"
"Nov 05, 2020","6.630","6.480","6.670","6.460","220.50M","2.47%"
"Nov 04, 2020","6.470","6.410","6.540","6.390","159.78M","1.09%"
"Nov 03, 2020","6.400","6.400","6.470","6.260","196.99M","0.63%"
"Nov 02, 2020","6.360","6.160","6.580","6.140","265.10M","3.75%"
"Oct 30, 2020","6.130","6.180","6.260","6.110","136.07M","-2.85%"
"Oct 28, 2020","6.310","6.430","6.430","6.280","57.69M","-2.02%"
"Oct 27, 2020","6.440","6.370","6.500","6.350","148.84M","2.22%"
"Oct 26, 2020","6.300","6.750","6.750","6.280","152.18M","-7.49%"
"Oct 23, 2020","6.810","6.860","6.920","6.760","168.19M","-0.44%"
"Oct 22, 2020","6.840","6.960","6.970","6.840","150.73M","-1.72%"
"Oct 21, 2020","6.960","7.000","7.060","6.950","159.24M","-0.29%"
"Oct 20, 2020","6.980","6.880","7.000","6.820","289.82M","1.75%"
"Oct 19, 2020","6.860","6.810","6.880","6.800","157.04M","1.18%"
"Oct 16, 2020","6.780","6.740","6.840","6.730","179.87M","0.89%"
"Oct 15, 2020","6.720","6.750","6.840","6.720","112.74M","-0.59%"
"Oct 14, 2020","6.760","6.760","6.830","6.730","140.46M","0.30%"
"Oct 13, 2020","6.740","6.900","6.910","6.730","136.61M","-2.32%"
"Oct 12, 2020","6.900","6.940","6.990","6.870","157.18M","-0.14%"
"Oct 09, 2020","6.910","6.810","6.940","6.800","207.57M","1.77%"
"Oct 08, 2020","6.790","6.730","6.830","6.700","210.23M","1.49%"
"Oct 07, 2020","6.690","6.820","6.890","6.690","175.68M","-2.34%"
"Oct 06, 2020","6.850","7.040","7.050","6.850","193.10M","-2.42%"
"Oct 05, 2020","7.020","7.080","7.110","7.020","191.13M","-0.28%"
"Oct 02, 2020","7.040","6.870","7.180","6.870","360.50M","1.88%"
"Oct 01, 2020","6.910","7.070","7.260","6.910","328.32M","-5.60%"
"Sep 30, 2020","7.320","7.430","7.900","7.100","776.22M","-0.95%"
"Sep 29, 2020","7.390","7.970","8.060","7.250","614.09M","-4.89%"
"Sep 28, 2020","7.770","7.180","7.770","7.160","527.39M","9.90%"
"Sep 25, 2020","7.070","6.900","7.100","6.850","282.91M","3.51%"
"Sep 24, 2020","6.830","6.780","6.890","6.760","189.43M","0.59%"
"Sep 23, 2020","6.790","6.700","6.950","6.670","319.23M","1.49%"
"Sep 22, 2020","6.690","6.600","6.700","6.500","308.99M","2.14%"
"Sep 21, 2020","6.550","6.400","6.800","6.390","466.64M","2.50%"
"Sep 18, 2020","6.390","6.410","6.430","6.370","57.83M","-0.16%"
"Sep 17, 2020","6.400","6.360","6.440","6.350","83.72M","0.16%"
"Sep 16, 2020","6.390","6.370","6.440","6.370","86.57M","0.63%"
"Sep 15, 2020","6.350","6.450","6.480","6.320","98.02M","-1.24%"
"Sep 14, 2020","6.430","6.240","6.450","6.240","229.14M","3.21%"
"Sep 11, 2020","6.230","6.230","6.290","6.210","68.71M","0.32%"
"Sep 10, 2020","6.210","6.230","6.310","6.200","118.81M","0.00%"
"Sep 09, 2020","6.210","6.220","6.260","6.190","66.16M","0.16%"
"Sep 08, 2020","6.200","6.310","6.310","6.190","77.97M","-1.43%"
"Sep 07, 2020","6.290","6.280","6.350","6.250","140.72M","0.48%"
"Sep 04, 2020","6.260","6.070","6.350","6.050","378.58M","3.30%"
"Sep 03, 2020","6.060","6.180","6.210","6.060","99.79M","-1.62%"
"Sep 02, 2020","6.160","6.210","6.260","6.150","170.60M","-0.65%"
"Sep 01, 2020","6.200","6.060","6.230","6.000","184.89M","2.65%"
"Aug 31, 2020","6.040","6.140","6.160","6.040","78.35M","-1.63%"
"Aug 28, 2020","6.140","6.250","6.320","6.120","110.39M","-1.29%"
"Aug 27, 2020","6.220","6.310","6.340","6.160","112.30M","-0.48%"
"Aug 26, 2020","6.250","5.980","6.420","5.960","379.87M","4.52%"
"Aug 25, 2020","5.980","6.160","6.210","5.950","74.54M","-2.29%"
"Aug 24, 2020","6.120","6.210","6.280","6.120","70.81M","-1.29%"
"Aug 21, 2020","6.200","6.280","6.370","6.140","139.52M","-0.64%"
"Aug 20, 2020","6.240","6.230","6.290","6.130","119.19M","-0.48%"
"Aug 19, 2020","6.270","5.960","6.270","5.950","242.58M","5.56%"
"Aug 18, 2020","5.940","5.940","6.010","5.920","82.02M","0.00%"
"Aug 17, 2020","5.940","6.000","6.020","5.890","63.99M","-0.67%"
"Aug 14, 2020","5.980","5.990","6.050","5.830","100.99M","-0.33%"
"Aug 13, 2020","6.000","6.280","6.340","5.940","127.01M","-3.69%"
"Aug 12, 2020","6.230","6.300","6.360","6.210","82.95M","-1.11%"
"Aug 11, 2020","6.300","5.980","6.500","5.970","239.60M","5.88%"
"Aug 10, 2020","5.950","5.990","6.060","5.930","90.94M","-1.33%"
"Aug 07, 2020","6.030","5.740","6.050","5.680","214.84M","4.87%"
"Aug 06, 2020","5.750","6.180","6.200","5.710","203.35M","-7.85%"
"Aug 05, 2020","6.240","5.800","6.320","5.700","438.48M","8.52%"
"Aug 04, 2020","5.750","5.920","5.970","5.500","128.60M","-0.35%"
"Jul 30, 2020","5.770","5.850","5.860","5.760","18.21M","-1.20%"
"Jul 29, 2020","5.840","6.000","6.000","5.740","88.60M","-2.83%"
"Jul 28, 2020","6.010","6.350","6.360","6.010","78.39M","-5.35%"
"Jul 27, 2020","6.350","6.480","6.500","6.330","109.03M","-1.70%"
"Jul 24, 2020","6.460","6.340","6.680","6.330","277.03M","2.54%"
