"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","12.00","12.03","12.16","11.91","6.32M","0.00%"
"Nov 26, 2020","12.00","12.15","12.19","12.00","5.29M","-1.23%"
"Nov 25, 2020","12.15","12.13","12.22","12.04","7.87M","0.91%"
"Nov 24, 2020","12.04","11.93","12.08","11.85","5.58M","1.26%"
"Nov 23, 2020","11.89","12.10","12.28","11.84","9.42M","-1.57%"
"Nov 20, 2020","12.08","12.10","12.18","11.99","7.65M","-0.08%"
"Nov 19, 2020","12.09","12.11","12.21","11.80","9.11M","-0.17%"
"Nov 18, 2020","12.11","12.68","12.77","12.03","12.51M","-3.04%"
"Nov 17, 2020","12.49","12.00","12.54","11.95","25.56M","5.67%"
"Nov 16, 2020","11.82","11.70","11.92","11.66","11.72M","2.52%"
"Nov 13, 2020","11.53","11.12","11.55","11.10","9.39M","3.78%"
"Nov 12, 2020","11.11","11.43","11.47","11.08","8.02M","-2.54%"
"Nov 11, 2020","11.40","11.50","11.54","11.40","8.26M","0.09%"
"Nov 10, 2020","11.39","11.60","11.64","11.39","5.25M","-1.64%"
"Nov 09, 2020","11.58","11.91","12.04","11.50","13.98M","-2.11%"
"Nov 06, 2020","11.83","11.88","11.99","11.82","6.51M","-0.25%"
"Nov 05, 2020","11.86","12.01","12.09","11.78","7.97M","-1.08%"
"Nov 04, 2020","11.99","11.52","12.23","11.51","32.58M","5.55%"
"Nov 03, 2020","11.36","11.38","11.51","11.14","5.19M","0.26%"
"Nov 02, 2020","11.33","11.45","11.55","11.31","5.28M","-0.09%"
"Oct 30, 2020","11.34","11.50","11.75","11.12","6.87M","-4.95%"
"Oct 28, 2020","11.93","12.16","12.24","11.91","2.81M","-1.81%"
"Oct 27, 2020","12.15","12.39","12.57","12.06","7.29M","-2.64%"
"Oct 26, 2020","12.48","12.70","13.13","12.39","15.77M","-2.42%"
"Oct 23, 2020","12.79","12.85","12.99","12.68","7.35M","-0.08%"
"Oct 22, 2020","12.80","12.98","13.16","12.80","13.29M","-1.01%"
"Oct 21, 2020","12.93","12.95","12.98","12.77","7.33M","0.54%"
"Oct 20, 2020","12.86","12.71","12.98","12.65","10.02M","1.34%"
"Oct 19, 2020","12.69","12.79","12.79","12.66","7.16M","-0.08%"
"Oct 16, 2020","12.70","12.90","13.12","12.66","22.47M","-0.70%"
"Oct 15, 2020","12.79","12.47","12.91","12.40","34.11M","3.23%"
"Oct 14, 2020","12.39","12.30","12.57","12.27","12.58M","1.06%"
"Oct 13, 2020","12.26","12.25","12.39","12.20","5.74M","0.41%"
"Oct 12, 2020","12.21","12.23","12.46","12.20","8.40M","0.16%"
"Oct 09, 2020","12.19","12.22","12.24","12.12","8.69M","-0.16%"
"Oct 08, 2020","12.21","12.28","12.29","12.18","4.05M","0.00%"
"Oct 07, 2020","12.21","12.33","12.33","12.16","3.72M","-0.97%"
