"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","19.95","20.32","20.38","19.52","10.90M","-1.82%"
"Nov 26, 2020","20.32","20.50","20.58","20.06","11.29M","1.96%"
"Nov 25, 2020","19.93","19.48","20.50","19.28","25.68M","2.78%"
"Nov 24, 2020","19.39","19.06","19.40","18.70","14.77M","3.41%"
"Nov 23, 2020","18.75","18.50","19.06","18.34","18.22M","1.68%"
"Nov 20, 2020","18.44","18.20","18.66","18.17","20.08M","3.31%"
"Nov 19, 2020","17.85","17.88","18.11","17.65","13.21M","0.39%"
"Nov 18, 2020","17.78","17.25","18.04","17.15","14.94M","2.95%"
"Nov 17, 2020","17.27","17.94","17.94","17.22","11.40M","-3.73%"
"Nov 16, 2020","17.94","17.25","18.38","17.25","30.67M","4.06%"
"Nov 13, 2020","17.24","17.20","17.48","17.10","11.22M","0.23%"
"Nov 12, 2020","17.20","17.13","17.50","16.86","29.44M","0.58%"
"Nov 11, 2020","17.10","17.32","17.77","16.70","34.38M","-0.06%"
"Nov 10, 2020","17.11","16.40","17.40","16.02","52.33M","7.27%"
"Nov 09, 2020","15.95","14.64","15.95","14.59","21.71M","10.00%"
"Nov 06, 2020","14.50","14.53","14.70","14.43","5.55M","-0.62%"
"Nov 05, 2020","14.59","14.63","14.83","14.40","6.57M","-0.27%"
"Nov 04, 2020","14.63","14.16","14.82","14.11","14.83M","3.39%"
"Nov 03, 2020","14.15","14.44","14.48","13.72","8.21M","-1.74%"
"Nov 02, 2020","14.40","13.78","15.03","13.68","27.44M","4.42%"
"Oct 30, 2020","13.79","13.90","13.90","13.37","6.75M","-1.50%"
"Oct 28, 2020","14.00","14.31","14.31","13.96","2.19M","-2.23%"
"Oct 27, 2020","14.32","14.32","14.57","14.17","6.24M","-1.45%"
"Oct 26, 2020","14.53","15.03","15.05","14.34","7.69M","-3.97%"
"Oct 23, 2020","15.13","15.27","15.34","14.94","6.39M","-1.43%"
"Oct 22, 2020","15.35","15.37","15.40","15.25","4.95M","-0.13%"
"Oct 21, 2020","15.37","15.43","15.54","15.35","8.36M","-0.07%"
"Oct 20, 2020","15.38","15.38","15.44","15.31","7.04M","0.07%"
"Oct 19, 2020","15.37","15.31","15.50","15.28","8.04M","0.39%"
"Oct 16, 2020","15.31","15.18","15.38","15.17","7.37M","0.99%"
"Oct 15, 2020","15.16","15.35","15.41","15.13","4.97M","-1.56%"
"Oct 14, 2020","15.40","15.36","15.47","15.30","6.80M","0.26%"
"Oct 13, 2020","15.36","15.54","15.55","15.33","5.86M","-1.16%"
"Oct 12, 2020","15.54","15.50","15.60","15.44","8.46M","0.39%"
"Oct 09, 2020","15.48","15.51","15.57","15.43","6.43M","0.13%"
"Oct 08, 2020","15.46","15.37","15.46","15.20","7.10M","1.18%"
"Oct 07, 2020","15.28","15.31","15.38","15.25","4.11M","-0.46%"
"Oct 06, 2020","15.35","15.45","15.52","15.35","6.84M","-0.39%"
"Oct 05, 2020","15.41","15.39","15.50","15.36","5.16M","0.92%"
"Oct 02, 2020","15.27","15.22","15.56","15.17","11.38M","-0.65%"
"Oct 01, 2020","15.37","15.52","15.80","15.32","17.27M","-0.26%"
"Sep 30, 2020","15.41","15.24","15.41","15.23","6.71M","1.58%"
"Sep 29, 2020","15.17","15.14","15.46","15.09","10.27M","0.46%"
"Sep 28, 2020","15.10","15.07","15.45","14.97","11.19M","0.20%"
"Sep 25, 2020","15.07","15.16","15.26","15.05","5.68M","-0.07%"
"Sep 24, 2020","15.08","14.99","15.14","14.92","5.84M","0.07%"
"Sep 23, 2020","15.07","15.11","15.31","14.99","6.87M","0.27%"
"Sep 22, 2020","15.03","15.01","15.22","14.85","7.44M","0.07%"
"Sep 21, 2020","15.02","15.50","15.56","14.95","6.79M","-3.28%"
"Sep 18, 2020","15.53","15.70","15.76","15.48","3.38M","-0.64%"
"Sep 17, 2020","15.63","14.90","15.80","14.90","4.36M","0.00%"
"Sep 16, 2020","15.63","15.85","15.92","15.62","4.24M","-1.20%"
"Sep 15, 2020","15.82","16.13","16.14","15.43","9.11M","-1.13%"
"Sep 14, 2020","16.00","16.24","16.40","15.95","8.19M","-1.36%"
"Sep 11, 2020","16.22","15.34","16.55","15.30","41.53M","6.36%"
"Sep 10, 2020","15.25","15.31","15.41","15.18","6.82M","0.00%"
"Sep 09, 2020","15.25","15.11","15.27","15.01","9.23M","0.99%"
"Sep 08, 2020","15.10","15.50","15.55","15.03","6.67M","-1.82%"
"Sep 07, 2020","15.38","15.11","15.46","15.08","10.84M","1.85%"
"Sep 04, 2020","15.10","14.70","15.10","14.64","7.12M","2.72%"
"Sep 03, 2020","14.70","15.10","15.17","14.70","7.10M","-2.52%"
"Sep 02, 2020","15.08","15.05","15.27","15.03","8.52M","0.40%"
"Sep 01, 2020","15.02","15.08","15.17","14.87","9.07M","0.13%"
"Aug 31, 2020","15.00","15.81","15.81","15.00","21.19M","-4.94%"
"Aug 28, 2020","15.78","16.05","16.05","15.71","5.30M","-0.82%"
"Aug 27, 2020","15.91","16.04","16.30","15.87","6.27M","0.00%"
"Aug 26, 2020","15.91","16.07","16.14","15.81","5.92M","-1.00%"
"Aug 25, 2020","16.07","16.73","16.94","16.00","12.36M","-2.96%"
"Aug 24, 2020","16.56","16.52","16.80","16.50","3.64M","0.00%"
"Aug 21, 2020","16.56","16.74","16.93","16.50","5.70M","-0.96%"
"Aug 20, 2020","16.72","16.90","16.90","16.68","3.40M","-0.83%"
"Aug 19, 2020","16.86","16.70","17.08","16.63","4.66M","1.14%"
"Aug 18, 2020","16.67","16.51","16.90","16.45","4.22M","0.97%"
"Aug 17, 2020","16.51","16.87","16.99","16.51","4.40M","-2.08%"
"Aug 14, 2020","16.86","16.93","17.09","16.74","5.96M","-0.41%"
"Aug 13, 2020","16.93","17.65","17.65","16.81","8.61M","-4.08%"
"Aug 12, 2020","17.65","18.20","18.55","17.62","17.67M","-2.65%"
"Aug 11, 2020","18.13","16.85","18.37","16.85","32.34M","7.98%"
"Aug 10, 2020","16.79","16.90","17.28","16.45","7.55M","-1.70%"
"Aug 07, 2020","17.08","16.87","17.23","16.03","9.73M","0.35%"
"Aug 06, 2020","17.02","17.69","17.85","16.95","10.37M","-3.84%"
"Aug 05, 2020","17.70","17.70","18.10","17.02","18.74M","1.26%"
"Aug 04, 2020","17.48","16.98","18.00","16.75","25.82M","5.30%"
"Jul 30, 2020","16.60","16.52","16.68","16.26","4.84M","0.85%"
"Jul 29, 2020","16.46","17.03","17.11","16.32","8.62M","-3.18%"
"Jul 28, 2020","17.00","18.08","18.10","17.00","8.82M","-5.76%"
"Jul 27, 2020","18.04","17.93","18.57","17.67","15.46M","0.67%"
"Jul 24, 2020","17.92","17.61","18.07","17.48","12.52M","1.19%"
"Jul 23, 2020","17.71","17.20","17.85","17.04","10.67M","4.12%"
"Jul 22, 2020","17.01","17.25","17.26","16.97","4.01M","-0.70%"
"Jul 21, 2020","17.13","17.42","17.50","16.95","5.74M","-1.15%"
"Jul 20, 2020","17.33","17.57","17.57","17.31","3.64M","-1.76%"
"Jul 17, 2020","17.64","17.80","17.80","17.55","3.09M","-0.68%"
"Jul 16, 2020","17.76","18.16","18.29","17.67","7.98M","0.85%"
"Jul 14, 2020","17.61","17.50","17.93","17.32","9.26M","0.63%"
"Jul 13, 2020","17.50","17.24","17.51","17.16","7.75M","2.64%"
"Jul 10, 2020","17.05","17.39","17.42","16.76","10.52M","-1.84%"
"Jul 09, 2020","17.37","17.69","18.29","17.37","14.02M","-1.75%"
"Jul 08, 2020","17.68","18.11","18.11","17.68","5.38M","-2.43%"
"Jul 07, 2020","18.12","18.53","18.55","18.07","6.22M","-2.21%"
"Jul 06, 2020","18.53","18.80","18.88","18.47","5.55M","-0.64%"
"Jul 03, 2020","18.65","19.13","19.18","18.63","6.97M","-2.36%"
"Jul 02, 2020","19.10","19.06","19.27","18.95","5.23M","0.58%"
"Jul 01, 2020","18.99","19.50","19.60","18.98","6.72M","-1.96%"
"Jun 30, 2020","19.37","19.11","19.44","19.07","8.54M","1.52%"
"Jun 29, 2020","19.08","19.12","19.18","18.95","2.80M","-0.05%"
"Jun 26, 2020","19.09","19.25","19.32","19.02","2.22M","0.74%"
"Jun 25, 2020","18.95","19.09","19.09","18.76","3.38M","-0.79%"
"Jun 24, 2020","19.10","19.54","19.56","19.06","4.69M","-2.20%"
"Jun 23, 2020","19.53","19.75","19.83","19.48","3.35M","-0.15%"
"Jun 22, 2020","19.56","19.50","19.66","19.45","5.46M","1.50%"
"Jun 19, 2020","19.27","19.47","19.88","19.23","8.70M","0.00%"
"Jun 18, 2020","19.27","19.05","19.64","19.05","7.88M","1.15%"
"Jun 17, 2020","19.05","19.33","19.39","19.04","3.88M","-1.35%"
"Jun 16, 2020","19.31","19.30","19.52","19.19","4.40M","1.15%"
"Jun 15, 2020","19.09","19.37","19.37","19.09","4.06M","-2.30%"
"Jun 12, 2020","19.54","19.19","19.63","18.94","6.55M","0.21%"
"Jun 11, 2020","19.50","19.98","20.04","19.48","4.65M","-2.69%"
"Jun 10, 2020","20.04","20.00","20.18","19.96","3.51M","0.25%"
"Jun 09, 2020","19.99","20.06","20.22","19.89","4.12M","-0.15%"
"Jun 08, 2020","20.02","20.32","20.56","19.95","4.55M","-0.89%"
"Jun 05, 2020","20.20","20.30","20.40","20.20","3.35M","0.10%"
"Jun 04, 2020","20.18","20.48","20.68","20.10","5.30M","-1.08%"
"Jun 03, 2020","20.40","20.70","20.76","20.34","3.19M","-0.78%"
"Jun 02, 2020","20.56","20.70","20.90","20.40","4.65M","-0.58%"
"Jun 01, 2020","20.68","20.80","21.10","20.50","5.11M","1.87%"
"May 29, 2020","20.30","20.50","20.62","19.65","7.59M","-0.49%"
"May 28, 2020","20.40","21.00","22.20","20.00","19.86M","-0.87%"
"May 27, 2020","20.58","19.50","20.58","19.43","17.55M","9.99%"
"May 22, 2020","18.71","18.39","18.72","18.18","6.26M","1.68%"
"May 21, 2020","18.40","18.52","18.79","18.27","4.84M","-0.43%"
"May 20, 2020","18.48","18.50","18.87","18.28","10.53M","1.37%"
"May 18, 2020","18.23","17.30","18.47","17.30","13.00M","6.92%"
"May 15, 2020","17.05","17.20","17.30","17.05","2.92M","0.29%"
"May 14, 2020","17.00","17.20","17.29","16.94","3.62M","-1.16%"
"May 13, 2020","17.20","17.08","17.48","17.08","4.99M","0.94%"
"May 12, 2020","17.04","17.08","17.10","16.81","4.12M","-0.23%"
"May 11, 2020","17.08","17.40","17.48","17.07","3.64M","-1.27%"
"May 08, 2020","17.30","18.06","18.26","17.25","9.60M","-1.65%"
"May 07, 2020","17.59","17.60","17.80","17.17","3.09M","0.06%"
"May 06, 2020","17.58","17.85","17.88","17.58","3.01M","-1.24%"
"May 05, 2020","17.80","18.01","18.09","17.75","2.83M","-0.34%"
"May 04, 2020","17.86","18.08","18.08","17.74","3.61M","-1.87%"
"Apr 30, 2020","18.20","18.06","18.53","17.78","7.19M","1.62%"
"Apr 29, 2020","17.91","18.07","18.19","17.57","4.93M","-0.83%"
"Apr 28, 2020","18.06","18.96","18.96","18.04","7.89M","-3.47%"
"Apr 27, 2020","18.71","18.26","19.15","18.21","10.35M","3.54%"
"Apr 24, 2020","18.07","18.64","18.64","18.05","5.24M","-4.69%"
"Apr 22, 2020","18.96","19.19","19.55","18.85","4.17M","-0.99%"
"Apr 21, 2020","19.15","19.73","19.73","19.12","4.62M","-3.58%"
"Apr 20, 2020","19.86","20.10","20.26","19.64","3.45M","-1.19%"
"Apr 17, 2020","20.10","20.00","20.24","19.39","4.98M","5.29%"
"Apr 16, 2020","19.09","20.28","20.88","18.70","7.75M","-5.12%"
"Apr 15, 2020","20.12","22.38","23.00","19.35","17.99M","-6.42%"
"Apr 14, 2020","21.50","20.20","21.50","20.20","9.98M","9.97%"
"Apr 13, 2020","19.55","18.10","19.63","18.04","7.17M","6.48%"
"Apr 10, 2020","18.36","17.96","18.55","17.82","4.96M","3.09%"
"Apr 09, 2020","17.81","17.28","18.47","17.28","9.88M","3.97%"
"Apr 08, 2020","17.13","16.98","17.31","16.86","5.37M","0.88%"
"Apr 07, 2020","16.98","17.31","18.73","16.98","9.60M","-0.29%"
"Apr 06, 2020","17.03","16.58","17.13","16.46","3.00M","5.65%"
"Apr 03, 2020","16.12","16.29","16.32","16.00","1.69M","-0.92%"
"Apr 02, 2020","16.27","17.00","17.11","16.11","2.10M","-1.99%"
"Apr 01, 2020","16.60","16.10","18.02","16.00","4.69M","0.24%"
"Mar 31, 2020","16.56","15.92","17.09","15.91","4.44M","6.15%"
"Mar 30, 2020","15.60","16.40","16.40","14.94","3.26M","-5.28%"
"Mar 27, 2020","16.47","18.28","19.15","16.47","5.47M","-6.47%"
"Mar 26, 2020","17.61","16.30","17.61","16.30","3.95M","9.99%"
"Mar 25, 2020","16.01","15.22","16.01","14.99","2.51M","2.37%"
"Mar 24, 2020","15.64","14.85","15.64","14.59","2.36M","9.99%"
"Mar 23, 2020","14.22","14.10","14.67","14.05","1.89M","-6.32%"
"Mar 20, 2020","15.18","15.11","15.39","14.92","1.70M","2.22%"
"Mar 19, 2020","14.85","15.55","15.73","14.84","2.71M","-5.83%"
"Mar 18, 2020","15.77","16.14","16.40","15.60","2.24M","-3.01%"
"Mar 17, 2020","16.26","16.27","16.39","14.69","2.85M","0.93%"
"Mar 16, 2020","16.11","16.50","17.30","15.95","3.36M","-5.73%"
"Mar 13, 2020","17.09","16.65","18.15","16.65","4.21M","2.70%"
"Mar 12, 2020","16.64","17.48","17.48","16.39","2.33M","-6.57%"
"Mar 11, 2020","17.81","17.70","18.02","17.18","2.06M","-0.50%"
"Mar 10, 2020","17.90","18.61","18.95","17.90","2.25M","-2.29%"
"Mar 09, 2020","18.32","18.89","18.89","18.00","2.26M","-4.78%"
"Mar 06, 2020","19.24","19.72","19.72","18.85","3.05M","-2.58%"
"Mar 05, 2020","19.75","20.40","20.50","19.67","3.40M","-1.84%"
"Mar 04, 2020","20.12","20.80","20.90","20.04","2.99M","-3.27%"
"Mar 03, 2020","20.80","20.76","21.00","20.62","2.40M","2.26%"
"Mar 02, 2020","20.34","20.96","21.10","19.97","2.88M","-0.10%"
"Feb 28, 2020","20.36","19.50","21.28","18.94","3.74M","-7.96%"
