"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","15.72","15.90","15.94","15.70","28.75M","-0.82%"
"Nov 26, 2020","15.85","15.74","15.89","15.72","24.26M","1.02%"
"Nov 25, 2020","15.69","15.84","15.91","15.69","20.69M","-0.51%"
"Nov 24, 2020","15.77","15.92","16.02","15.73","26.20M","-0.50%"
"Nov 23, 2020","15.85","16.13","16.16","15.69","29.61M","-1.55%"
"Nov 20, 2020","16.10","16.04","16.23","16.04","27.09M","0.63%"
"Nov 19, 2020","16.00","15.85","16.15","15.75","45.39M","0.76%"
"Nov 18, 2020","15.88","15.66","15.88","15.62","40.92M","1.73%"
"Nov 17, 2020","15.61","16.00","16.04","15.61","31.42M","-2.80%"
"Nov 16, 2020","16.06","16.30","16.32","16.02","35.87M","-0.80%"
"Nov 13, 2020","16.19","15.88","16.26","15.74","49.82M","2.47%"
"Nov 12, 2020","15.80","15.97","16.14","15.71","70.12M","-0.25%"
"Nov 11, 2020","15.84","15.50","15.86","15.45","124.89M","2.99%"
"Nov 10, 2020","15.38","15.78","15.82","15.27","126.41M","-5.99%"
"Nov 09, 2020","16.36","16.21","16.38","16.08","27.01M","1.49%"
"Nov 06, 2020","16.12","15.80","16.18","15.73","26.96M","2.03%"
"Nov 05, 2020","15.80","15.35","15.83","15.31","22.45M","3.27%"
"Nov 04, 2020","15.30","15.43","15.72","15.19","26.61M","-0.07%"
"Nov 03, 2020","15.31","15.13","15.45","14.85","19.14M","1.66%"
"Nov 02, 2020","15.06","14.75","15.37","14.70","18.12M","3.15%"
"Oct 30, 2020","14.60","14.70","14.84","14.35","21.15M","-2.28%"
"Oct 28, 2020","14.94","15.50","15.53","14.90","8.45M","-3.74%"
"Oct 27, 2020","15.52","15.51","15.76","15.40","20.04M","-0.64%"
"Oct 26, 2020","15.62","16.07","16.13","15.50","19.86M","-4.29%"
"Oct 23, 2020","16.32","16.31","16.66","16.25","22.50M","0.74%"
"Oct 22, 2020","16.20","16.72","16.76","16.20","27.56M","-2.41%"
"Oct 21, 2020","16.60","17.25","17.39","16.60","49.63M","-2.58%"
"Oct 20, 2020","17.04","17.30","17.44","16.91","32.70M","-1.10%"
"Oct 19, 2020","17.23","16.86","17.42","16.86","33.94M","2.44%"
"Oct 16, 2020","16.82","16.51","16.92","16.51","26.41M","2.06%"
"Oct 15, 2020","16.48","16.84","16.87","16.47","17.73M","-2.49%"
"Oct 14, 2020","16.90","16.40","16.90","16.34","27.13M","3.43%"
"Oct 13, 2020","16.34","16.56","16.59","16.33","14.45M","-0.97%"
"Oct 12, 2020","16.50","16.05","16.50","16.05","21.24M","3.06%"
"Oct 09, 2020","16.01","15.80","16.01","15.76","15.65M","1.52%"
"Oct 08, 2020","15.77","15.90","16.01","15.65","22.93M","-0.19%"
"Oct 07, 2020","15.80","15.55","15.84","15.50","13.50M","1.09%"
"Oct 06, 2020","15.63","15.90","16.02","15.62","26.21M","-0.95%"
"Oct 05, 2020","15.78","15.29","15.78","15.29","19.30M","3.41%"
"Oct 02, 2020","15.26","15.20","15.38","15.19","11.80M","-0.26%"
"Oct 01, 2020","15.30","15.30","15.47","15.18","20.49M","0.66%"
"Sep 30, 2020","15.20","15.07","15.31","15.00","19.84M","1.60%"
"Sep 29, 2020","14.96","15.00","15.22","14.88","17.30M","-0.27%"
"Sep 28, 2020","15.00","15.17","15.38","14.97","16.92M","-0.99%"
"Sep 25, 2020","15.15","15.50","15.61","15.15","17.54M","-1.75%"
"Sep 24, 2020","15.42","15.50","15.76","15.24","41.74M","-1.03%"
"Sep 23, 2020","15.58","15.31","15.58","15.24","31.28M","3.18%"
"Sep 22, 2020","15.10","14.77","15.14","14.68","29.71M","2.79%"
"Sep 21, 2020","14.69","14.55","14.87","14.52","31.01M","1.31%"
"Sep 18, 2020","14.50","14.38","14.50","14.36","15.42M","1.05%"
"Sep 17, 2020","14.35","14.28","14.35","14.13","9.74M","0.56%"
"Sep 16, 2020","14.27","14.38","14.44","14.21","14.41M","-0.56%"
"Sep 15, 2020","14.35","14.27","14.57","13.56","31.49M","0.84%"
"Sep 14, 2020","14.23","14.36","14.44","14.10","10.04M","-0.63%"
"Sep 11, 2020","14.32","14.44","14.51","14.31","13.09M","-0.69%"
"Sep 10, 2020","14.42","14.47","14.55","14.41","11.06M","-0.07%"
"Sep 09, 2020","14.43","14.46","14.55","14.40","9.85M","-0.41%"
"Sep 08, 2020","14.49","14.94","14.96","14.46","20.23M","-2.49%"
"Sep 07, 2020","14.86","14.85","15.02","14.81","13.78M","0.41%"
"Sep 04, 2020","14.80","14.42","14.86","14.32","18.15M","2.21%"
"Sep 03, 2020","14.48","14.55","14.74","14.43","12.65M","-0.34%"
"Sep 02, 2020","14.53","14.30","14.65","14.26","11.93M","1.68%"
"Sep 01, 2020","14.29","14.40","14.40","14.08","12.09M","-0.21%"
"Aug 31, 2020","14.32","14.56","14.66","14.30","22.91M","-1.24%"
"Aug 28, 2020","14.50","14.65","14.67","14.47","10.49M","-0.82%"
"Aug 27, 2020","14.62","14.70","14.71","14.50","12.45M","1.11%"
"Aug 26, 2020","14.46","14.47","14.65","14.40","13.58M","-0.62%"
"Aug 25, 2020","14.55","14.91","14.92","14.42","15.58M","-1.42%"
"Aug 24, 2020","14.76","15.05","15.16","14.74","20.29M","-1.60%"
"Aug 21, 2020","15.00","15.52","15.57","15.00","17.91M","-2.47%"
"Aug 20, 2020","15.38","15.21","15.84","15.02","39.25M","0.85%"
"Aug 19, 2020","15.25","14.95","15.25","14.92","16.35M","2.56%"
"Aug 18, 2020","14.87","14.79","15.09","14.73","16.93M","0.54%"
"Aug 17, 2020","14.79","14.78","14.90","14.57","18.65M","0.07%"
"Aug 14, 2020","14.78","15.19","15.26","14.70","35.16M","-4.27%"
"Aug 13, 2020","15.44","15.64","15.84","15.30","44.52M","-0.39%"
"Aug 12, 2020","15.50","15.24","15.50","15.10","35.88M","2.45%"
"Aug 11, 2020","15.13","15.00","15.18","14.83","32.81M","1.48%"
"Aug 10, 2020","14.91","14.87","15.03","14.66","17.42M","0.07%"
"Aug 07, 2020","14.90","14.60","14.90","14.06","32.92M","2.12%"
"Aug 06, 2020","14.59","15.05","15.23","14.55","32.56M","-3.19%"
"Aug 05, 2020","15.07","15.00","15.13","14.79","29.69M","1.48%"
"Aug 04, 2020","14.85","15.09","15.15","14.59","31.62M","-0.07%"
"Jul 30, 2020","14.86","15.03","15.06","14.82","7.28M","-1.13%"
"Jul 29, 2020","15.03","15.26","15.36","14.92","24.98M","-1.25%"
"Jul 28, 2020","15.22","16.00","16.00","15.20","22.20M","-4.70%"
"Jul 27, 2020","15.97","16.11","16.21","15.97","15.21M","-0.56%"
"Jul 24, 2020","16.06","16.07","16.22","16.02","13.85M","-0.50%"
"Jul 23, 2020","16.14","16.17","16.35","16.11","21.34M","0.12%"
"Jul 22, 2020","16.12","16.55","16.61","16.10","31.08M","-1.71%"
"Jul 21, 2020","16.40","16.37","16.76","16.18","54.81M","1.17%"
"Jul 20, 2020","16.21","16.18","16.31","16.13","16.63M","0.19%"
"Jul 17, 2020","16.18","16.18","16.34","16.13","13.95M","0.06%"
"Jul 16, 2020","16.17","16.29","16.38","16.14","18.55M","0.19%"
"Jul 14, 2020","16.14","16.35","16.37","16.11","14.04M","-1.41%"
"Jul 13, 2020","16.37","16.20","16.41","16.14","21.95M","1.74%"
"Jul 10, 2020","16.09","15.67","16.11","15.51","27.83M","2.22%"
"Jul 09, 2020","15.74","16.42","16.44","15.68","19.14M","-3.85%"
"Jul 08, 2020","16.37","16.46","16.51","16.34","17.15M","-0.30%"
"Jul 07, 2020","16.42","16.30","16.53","16.06","42.17M","1.11%"
"Jul 06, 2020","16.24","16.14","16.28","16.07","14.29M","1.63%"
"Jul 03, 2020","15.98","16.29","16.30","15.94","18.28M","-1.90%"
"Jul 02, 2020","16.29","16.20","16.41","16.12","32.23M","1.24%"
"Jul 01, 2020","16.09","16.46","16.52","16.08","18.17M","-2.13%"
"Jun 30, 2020","16.44","16.56","16.65","16.40","22.23M","-0.30%"
"Jun 29, 2020","16.49","16.64","16.64","16.43","13.91M","-0.30%"
"Jun 26, 2020","16.54","16.70","16.83","16.52","22.50M","-0.06%"
"Jun 25, 2020","16.55","16.71","16.93","16.54","23.04M","-0.90%"
"Jun 24, 2020","16.70","16.65","17.04","16.44","34.26M","0.30%"
"Jun 23, 2020","16.65","16.50","17.15","16.47","40.70M","1.52%"
"Jun 22, 2020","16.40","17.07","17.13","16.40","44.48M","-3.24%"
"Jun 19, 2020","16.95","17.15","17.85","16.84","121.43M","4.44%"
"Jun 18, 2020","16.23","15.27","16.23","15.27","78.82M","9.96%"
"Jun 17, 2020","14.76","14.82","14.93","14.50","26.49M","0.14%"
"Jun 16, 2020","14.74","14.60","15.40","14.51","54.48M","2.08%"
"Jun 15, 2020","14.44","14.15","14.47","14.11","22.07M","1.55%"
"Jun 12, 2020","14.22","14.22","14.30","14.14","9.61M","-0.84%"
"Jun 11, 2020","14.34","14.20","14.37","14.11","12.20M","0.84%"
"Jun 10, 2020","14.22","14.27","14.37","14.22","10.72M","0.00%"
"Jun 09, 2020","14.22","14.49","14.53","14.21","6.94M","-1.73%"
"Jun 08, 2020","14.47","14.60","14.67","14.36","11.39M","-0.69%"
"Jun 05, 2020","14.57","14.33","14.65","14.32","21.09M","2.68%"
"Jun 04, 2020","14.19","14.10","14.26","14.05","19.04M","1.00%"
"Jun 03, 2020","14.05","14.04","14.10","13.96","8.76M","0.64%"
"Jun 02, 2020","13.96","14.09","14.15","13.89","11.05M","-0.64%"
"Jun 01, 2020","14.05","14.10","14.21","14.01","10.11M","-0.78%"
"May 29, 2020","14.16","13.90","14.16","13.76","13.15M","1.87%"
"May 28, 2020","13.90","13.94","13.99","13.77","8.95M","0.00%"
