"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","11.930","12.210","12.220","11.880","107.69M","-2.21%"
"Nov 26, 2020","12.200","12.310","12.360","12.020","174.50M","1.75%"
"Nov 25, 2020","11.990","11.980","12.360","11.890","359.98M","1.35%"
"Nov 24, 2020","11.830","11.920","12.040","11.770","170.79M","0.77%"
"Nov 23, 2020","11.740","12.040","12.190","11.730","198.88M","-1.18%"
"Nov 20, 2020","11.880","11.760","12.120","11.760","166.09M","1.45%"
"Nov 19, 2020","11.710","11.710","11.910","11.600","134.12M","0.09%"
"Nov 18, 2020","11.700","11.470","11.800","11.470","127.60M","2.01%"
"Nov 17, 2020","11.470","11.710","11.790","11.450","125.29M","-2.63%"
"Nov 16, 2020","11.780","11.600","12.200","11.540","334.88M","2.43%"
"Nov 13, 2020","11.500","11.650","11.740","11.430","94.12M","-1.29%"
"Nov 12, 2020","11.650","11.760","12.150","11.600","314.82M","-1.10%"
"Nov 11, 2020","11.780","11.590","12.050","11.260","317.68M","2.43%"
"Nov 10, 2020","11.500","10.880","11.670","10.810","496.18M","7.68%"
"Nov 09, 2020","10.680","9.830","10.680","9.780","169.77M","9.99%"
"Nov 06, 2020","9.710","9.740","9.810","9.660","39.26M","0.21%"
"Nov 05, 2020","9.690","9.820","9.990","9.670","71.71M","-0.92%"
"Nov 04, 2020","9.780","9.520","9.920","9.470","142.22M","2.73%"
"Nov 03, 2020","9.520","9.460","9.670","9.240","63.64M","1.17%"
"Nov 02, 2020","9.410","9.030","9.900","9.030","199.65M","4.32%"
"Oct 30, 2020","9.020","9.070","9.110","8.850","47.79M","-1.53%"
"Oct 28, 2020","9.160","9.450","9.450","9.160","19.47M","-3.38%"
"Oct 27, 2020","9.480","9.680","9.710","9.370","64.52M","-2.17%"
"Oct 26, 2020","9.690","10.300","10.300","9.690","52.46M","-6.56%"
"Oct 23, 2020","10.370","10.400","10.500","10.320","37.21M","-0.29%"
"Oct 22, 2020","10.400","10.450","10.540","10.380","50.64M","-0.48%"
"Oct 21, 2020","10.450","10.590","10.630","10.450","47.45M","-0.85%"
"Oct 20, 2020","10.540","10.640","10.670","10.530","42.36M","-0.75%"
"Oct 19, 2020","10.620","10.560","10.700","10.550","38.36M","0.66%"
"Oct 16, 2020","10.550","10.520","10.700","10.500","54.16M","0.48%"
"Oct 15, 2020","10.500","10.610","10.670","10.470","34.79M","-1.59%"
"Oct 14, 2020","10.670","10.600","10.730","10.560","48.65M","0.66%"
"Oct 13, 2020","10.600","10.780","10.790","10.580","42.68M","-1.58%"
"Oct 12, 2020","10.770","10.790","10.860","10.740","54.94M","0.09%"
"Oct 09, 2020","10.760","10.730","10.820","10.690","53.90M","0.47%"
"Oct 08, 2020","10.710","10.710","10.760","10.630","48.64M","0.56%"
"Oct 07, 2020","10.650","10.580","10.670","10.550","32.67M","0.28%"
"Oct 06, 2020","10.620","10.710","10.820","10.600","46.61M","-0.56%"
"Oct 05, 2020","10.680","10.700","10.790","10.630","52.36M","0.56%"
"Oct 02, 2020","10.620","10.420","10.990","10.400","232.03M","0.76%"
"Oct 01, 2020","10.540","10.540","10.850","10.540","110.48M","0.38%"
"Sep 30, 2020","10.500","10.400","10.510","10.350","49.38M","1.45%"
"Sep 29, 2020","10.350","10.390","10.520","10.240","48.20M","-0.29%"
"Sep 28, 2020","10.380","10.460","10.580","10.290","52.95M","-0.76%"
"Sep 25, 2020","10.460","10.600","10.660","10.430","39.10M","-0.38%"
"Sep 24, 2020","10.500","10.450","10.590","10.350","47.66M","0.00%"
"Sep 23, 2020","10.500","10.610","10.630","10.470","37.90M","-0.66%"
"Sep 22, 2020","10.570","10.350","10.610","10.270","51.65M","2.13%"
"Sep 21, 2020","10.350","10.590","10.680","10.310","31.59M","-2.82%"
"Sep 18, 2020","10.650","10.710","10.740","10.590","22.58M","-0.47%"
"Sep 17, 2020","10.700","10.600","10.700","10.550","29.01M","0.75%"
"Sep 16, 2020","10.620","10.750","10.830","10.580","23.64M","-1.03%"
"Sep 15, 2020","10.730","10.930","10.960","10.700","27.90M","-1.38%"
"Sep 14, 2020","10.880","10.940","11.070","10.870","36.15M","-0.46%"
"Sep 11, 2020","10.930","10.810","11.080","10.790","95.96M","1.58%"
"Sep 10, 2020","10.760","10.850","10.990","10.750","48.43M","-0.83%"
"Sep 09, 2020","10.850","10.740","10.930","10.710","53.35M","0.65%"
"Sep 08, 2020","10.780","10.820","10.920","10.620","57.91M","0.19%"
"Sep 07, 2020","10.760","10.550","10.820","10.530","60.53M","2.09%"
"Sep 04, 2020","10.540","10.360","10.640","10.290","66.32M","1.84%"
"Sep 03, 2020","10.350","10.530","10.630","10.350","47.63M","-1.52%"
"Sep 02, 2020","10.510","10.690","10.770","10.470","43.78M","-1.68%"
"Sep 01, 2020","10.690","10.570","10.730","10.420","40.84M","1.23%"
"Aug 31, 2020","10.560","10.990","11.010","10.560","53.10M","-4.00%"
"Aug 28, 2020","11.000","11.130","11.150","10.980","27.20M","-1.08%"
"Aug 27, 2020","11.120","11.140","11.210","11.050","38.10M","0.82%"
"Aug 26, 2020","11.030","11.200","11.240","10.970","59.64M","-1.52%"
"Aug 25, 2020","11.200","11.270","11.500","11.060","157.35M","1.08%"
"Aug 24, 2020","11.080","11.080","11.240","11.050","33.69M","-0.27%"
"Aug 21, 2020","11.110","11.280","11.440","10.980","61.24M","-0.80%"
