"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","15.15","15.60","15.60","15.10","9.78M","-2.01%"
"Nov 26, 2020","15.46","15.59","15.63","15.37","9.94M","-0.26%"
"Nov 25, 2020","15.50","15.80","15.87","15.47","16.87M","-0.83%"
"Nov 24, 2020","15.63","15.30","15.68","15.30","28.40M","3.17%"
"Nov 23, 2020","15.15","14.98","15.50","14.94","29.56M","1.61%"
"Nov 20, 2020","14.91","14.80","14.99","14.80","11.30M","0.81%"
"Nov 19, 2020","14.79","14.50","14.86","14.32","11.01M","1.79%"
"Nov 18, 2020","14.53","14.37","14.61","14.37","7.27M","1.25%"
"Nov 17, 2020","14.35","14.70","14.70","14.30","8.32M","-2.65%"
"Nov 16, 2020","14.74","14.89","14.99","14.71","9.18M","-0.14%"
"Nov 13, 2020","14.76","14.56","14.82","14.53","9.86M","1.65%"
"Nov 12, 2020","14.52","14.80","15.10","14.52","21.16M","-1.76%"
"Nov 11, 2020","14.78","14.40","14.95","14.33","23.65M","3.14%"
"Nov 10, 2020","14.33","14.18","14.44","14.14","10.64M","0.84%"
"Nov 09, 2020","14.21","14.06","14.40","14.01","13.63M","2.38%"
"Nov 06, 2020","13.88","14.01","14.05","13.83","6.55M","-0.93%"
"Nov 05, 2020","14.01","13.92","14.10","13.85","8.47M","0.79%"
"Nov 04, 2020","13.90","13.83","13.98","13.74","8.42M","0.87%"
"Nov 03, 2020","13.78","13.56","13.81","13.41","7.74M","2.00%"
"Nov 02, 2020","13.51","13.32","13.97","13.29","13.60M","1.81%"
"Oct 30, 2020","13.27","13.43","13.51","13.18","7.78M","-3.14%"
"Oct 28, 2020","13.70","13.82","13.90","13.68","2.42M","-1.58%"
"Oct 27, 2020","13.92","13.77","14.01","13.63","9.00M","1.16%"
"Oct 26, 2020","13.76","14.60","14.60","13.76","12.84M","-5.69%"
"Oct 23, 2020","14.59","14.82","14.83","14.46","18.39M","-2.73%"
"Oct 22, 2020","15.00","15.30","15.30","15.00","12.41M","-1.83%"
"Oct 21, 2020","15.28","15.65","15.68","15.28","15.48M","-1.99%"
"Oct 20, 2020","15.59","15.81","15.82","15.54","12.80M","-1.27%"
"Oct 19, 2020","15.79","15.57","15.83","15.52","21.98M","2.20%"
"Oct 16, 2020","15.45","15.34","15.61","15.34","13.94M","1.18%"
"Oct 15, 2020","15.27","15.65","15.65","15.21","20.25M","-2.37%"
"Oct 14, 2020","15.64","15.10","15.68","15.06","40.64M","3.99%"
"Oct 13, 2020","15.04","15.11","15.21","15.03","10.61M","-0.40%"
"Oct 12, 2020","15.10","15.16","15.28","15.08","15.91M","0.07%"
"Oct 09, 2020","15.09","14.97","15.13","14.97","10.12M","1.07%"
"Oct 08, 2020","14.93","14.97","15.23","14.88","23.09M","0.74%"
"Oct 07, 2020","14.82","14.87","14.92","14.80","6.68M","-0.67%"
"Oct 06, 2020","14.92","15.03","15.13","14.92","13.22M","-0.53%"
"Oct 05, 2020","15.00","14.90","15.08","14.90","8.11M","0.87%"
"Oct 02, 2020","14.87","14.89","15.00","14.79","9.23M","-0.34%"
"Oct 01, 2020","14.92","14.86","15.03","14.78","9.94M","0.67%"
"Sep 30, 2020","14.82","14.80","14.83","14.73","7.04M","0.82%"
"Sep 29, 2020","14.70","14.81","14.98","14.61","11.03M","-0.74%"
"Sep 28, 2020","14.81","15.14","15.14","14.80","11.75M","-2.57%"
"Sep 25, 2020","15.20","15.23","15.39","15.11","13.55M","0.40%"
"Sep 24, 2020","15.14","15.00","15.18","14.92","12.21M","-1.94%"
"Sep 23, 2020","15.44","15.14","15.48","15.09","13.02M","2.86%"
"Sep 22, 2020","15.01","14.97","15.11","14.90","6.32M","0.20%"
"Sep 21, 2020","14.98","15.49","15.56","14.92","9.77M","-3.29%"
"Sep 18, 2020","15.49","15.61","15.71","15.49","6.88M","-0.58%"
"Sep 17, 2020","15.58","15.58","15.73","15.52","9.50M","-0.45%"
"Sep 16, 2020","15.65","15.56","15.77","15.46","14.95M","0.90%"
"Sep 15, 2020","15.51","15.50","15.58","15.31","9.32M","0.58%"
"Sep 14, 2020","15.42","15.45","15.55","15.38","5.29M","0.33%"
"Sep 11, 2020","15.37","15.46","15.56","15.31","5.90M","-0.39%"
"Sep 10, 2020","15.43","15.63","15.72","15.43","12.47M","-1.09%"
"Sep 09, 2020","15.60","15.29","15.68","15.27","17.47M","2.16%"
"Sep 08, 2020","15.27","15.50","15.69","15.26","15.52M","-1.29%"
"Sep 07, 2020","15.47","15.15","15.50","15.14","18.11M","2.93%"
"Sep 04, 2020","15.03","14.66","15.03","14.53","9.70M","2.38%"
"Sep 03, 2020","14.68","14.96","15.04","14.68","7.11M","-1.81%"
"Sep 02, 2020","14.95","15.01","15.18","14.90","8.94M","0.27%"
"Sep 01, 2020","14.91","14.83","14.98","14.65","7.74M","0.54%"
"Aug 31, 2020","14.83","15.22","15.23","14.75","9.97M","-2.24%"
"Aug 28, 2020","15.17","15.38","15.41","15.09","8.27M","-0.91%"
"Aug 27, 2020","15.31","15.46","15.54","15.19","8.08M","0.33%"
"Aug 26, 2020","15.26","15.29","15.60","15.08","14.99M","-0.26%"
"Aug 25, 2020","15.30","16.09","16.16","15.29","20.91M","-4.32%"
"Aug 24, 2020","15.99","16.10","16.46","15.96","29.14M","-0.12%"
"Aug 21, 2020","16.01","15.56","16.15","15.28","54.14M","5.26%"
"Aug 20, 2020","15.21","14.76","15.23","14.60","24.81M","3.19%"
"Aug 19, 2020","14.74","14.33","14.75","14.27","14.21M","3.37%"
"Aug 18, 2020","14.26","14.27","14.39","14.16","7.21M","0.56%"
"Aug 17, 2020","14.18","14.35","14.48","14.15","9.68M","-1.18%"
"Aug 14, 2020","14.35","14.73","14.73","14.31","17.30M","-2.65%"
"Aug 13, 2020","14.74","14.59","15.13","14.42","38.43M","1.10%"
"Aug 12, 2020","14.58","14.81","14.83","14.40","12.30M","-1.22%"
"Aug 11, 2020","14.76","14.60","14.90","14.54","15.58M","2.15%"
"Aug 10, 2020","14.45","14.20","14.65","13.76","14.02M","0.84%"
"Aug 07, 2020","14.33","13.51","14.40","12.84","21.75M","5.37%"
"Aug 06, 2020","13.60","14.68","14.74","13.60","20.35M","-7.55%"
"Aug 05, 2020","14.71","14.80","14.97","14.28","13.39M","0.75%"
"Aug 04, 2020","14.60","15.55","15.77","14.06","19.96M","-4.58%"
"Jul 30, 2020","15.30","14.84","15.64","14.76","7.78M","3.24%"
"Jul 29, 2020","14.82","15.56","15.56","14.77","21.66M","-4.94%"
"Jul 28, 2020","15.59","16.44","16.51","15.59","11.90M","-5.23%"
"Jul 27, 2020","16.45","16.70","16.78","16.45","8.49M","-0.60%"
"Jul 24, 2020","16.55","16.60","16.60","16.40","8.88M","-0.78%"
"Jul 23, 2020","16.68","16.88","16.93","16.68","10.84M","-0.42%"
"Jul 22, 2020","16.75","16.92","17.16","16.74","18.29M","-0.89%"
"Jul 21, 2020","16.90","17.22","17.48","16.75","26.91M","-1.40%"
"Jul 20, 2020","17.14","17.35","17.35","17.14","13.13M","-1.15%"
"Jul 17, 2020","17.34","17.50","17.52","17.34","18.15M","-0.63%"
"Jul 16, 2020","17.45","17.55","17.70","17.44","17.99M","0.23%"
"Jul 14, 2020","17.41","17.70","17.75","17.41","21.59M","-2.03%"
"Jul 13, 2020","17.77","17.30","17.78","17.30","24.92M","3.92%"
"Jul 10, 2020","17.10","17.52","17.52","16.77","34.31M","-2.45%"
"Jul 09, 2020","17.53","18.48","18.53","17.53","29.35M","-4.62%"
"Jul 08, 2020","18.38","18.70","18.82","18.36","62.39M","2.05%"
"Jul 07, 2020","18.01","17.83","18.21","17.32","84.66M","1.12%"
"Jul 06, 2020","17.81","17.00","18.02","16.93","80.19M","5.89%"
"Jul 03, 2020","16.82","17.12","17.24","16.78","23.37M","-0.83%"
"Jul 02, 2020","16.96","16.92","17.14","16.84","19.80M","0.59%"
"Jul 01, 2020","16.86","17.06","17.10","16.66","23.56M","-0.94%"
"Jun 30, 2020","17.02","17.12","17.17","16.92","15.76M","-0.29%"
"Jun 29, 2020","17.07","17.28","17.29","17.04","15.49M","-0.81%"
"Jun 26, 2020","17.21","17.50","17.57","17.14","20.28M","-0.92%"
"Jun 25, 2020","17.37","16.69","17.39","16.60","53.66M","4.20%"
"Jun 24, 2020","16.67","17.10","17.11","16.64","23.15M","-2.46%"
"Jun 23, 2020","17.09","17.20","17.46","16.95","22.50M","-0.52%"
"Jun 22, 2020","17.18","17.23","17.63","17.11","21.81M","0.70%"
"Jun 19, 2020","17.06","17.50","17.61","16.87","41.33M","4.02%"
"Jun 18, 2020","16.40","15.96","16.76","15.94","56.44M","3.67%"
"Jun 17, 2020","15.82","16.05","16.11","15.75","14.30M","-0.75%"
"Jun 16, 2020","15.94","15.91","16.20","15.84","20.75M","1.40%"
"Jun 15, 2020","15.72","15.47","15.94","15.36","28.18M","1.03%"
"Jun 12, 2020","15.56","15.29","15.72","15.15","21.58M","0.78%"
"Jun 11, 2020","15.44","15.49","15.87","15.40","23.51M","-0.77%"
"Jun 10, 2020","15.56","15.07","15.72","15.03","29.16M","3.73%"
"Jun 09, 2020","15.00","15.22","15.34","15.00","10.55M","-1.12%"
"Jun 08, 2020","15.17","15.20","15.49","15.08","14.85M","0.73%"
"Jun 05, 2020","15.06","15.00","15.21","15.00","9.23M","0.80%"
"Jun 04, 2020","14.94","15.24","15.28","14.94","11.62M","-1.58%"
"Jun 03, 2020","15.18","14.85","15.36","14.85","23.80M","3.55%"
"Jun 02, 2020","14.66","14.16","14.66","14.16","23.71M","3.75%"
"Jun 01, 2020","14.13","14.20","14.22","14.09","7.37M","0.86%"
"May 29, 2020","14.01","14.02","14.34","13.94","12.40M","-0.07%"
"May 28, 2020","14.02","14.13","14.16","13.83","10.19M","0.00%"
"May 27, 2020","14.02","14.18","14.27","14.02","10.39M","0.65%"
"May 22, 2020","13.93","13.94","14.00","13.75","6.62M","-0.07%"
"May 21, 2020","13.94","13.59","14.35","13.58","20.87M","3.03%"
"May 20, 2020","13.53","13.20","13.53","13.14","9.98M","3.12%"
"May 18, 2020","13.12","13.10","13.20","13.05","5.09M","1.00%"
"May 15, 2020","12.99","12.97","13.10","12.97","3.72M","0.62%"
"May 14, 2020","12.91","13.10","13.13","12.83","4.74M","-1.45%"
"May 13, 2020","13.10","13.22","13.32","13.10","5.76M","-0.83%"
"May 12, 2020","13.21","13.06","13.29","13.06","5.58M","1.30%"
"May 11, 2020","13.04","12.96","13.16","12.80","5.61M","0.77%"
"May 08, 2020","12.94","13.30","13.37","12.92","6.97M","-2.19%"
"May 07, 2020","13.23","13.51","13.53","13.18","6.97M","-2.07%"
"May 06, 2020","13.51","13.65","13.72","13.50","9.81M","-3.77%"
"May 05, 2020","14.04","14.30","14.41","13.97","7.06M","-0.78%"
"May 04, 2020","14.15","14.08","14.40","13.98","10.12M","-0.70%"
"Apr 30, 2020","14.25","14.25","14.29","13.91","8.47M","0.64%"
"Apr 29, 2020","14.16","14.16","14.29","14.09","6.30M","0.57%"
"Apr 28, 2020","14.08","14.44","14.50","14.08","7.55M","-2.02%"
"Apr 27, 2020","14.37","14.50","14.57","14.30","9.60M","3.21%"
"Apr 24, 2020","13.92","13.39","14.15","13.38","17.55M","4.47%"
"Apr 22, 2020","13.33","13.41","13.50","13.33","7.38M","-0.22%"
"Apr 21, 2020","13.36","13.53","13.57","13.29","7.43M","-1.77%"
"Apr 20, 2020","13.60","13.68","13.71","13.51","8.64M","-0.28%"
"Apr 17, 2020","13.64","13.53","13.66","13.44","8.99M","2.60%"
"Apr 16, 2020","13.29","13.37","13.43","13.17","7.17M","0.29%"
"Apr 15, 2020","13.25","13.69","13.70","13.10","8.66M","-2.95%"
"Apr 14, 2020","13.65","13.59","13.79","13.54","11.70M","1.43%"
"Apr 13, 2020","13.46","13.31","13.71","13.18","10.78M","1.08%"
"Apr 10, 2020","13.32","13.16","13.65","13.10","10.27M","1.54%"
"Apr 09, 2020","13.12","13.33","13.38","12.95","9.44M","0.00%"
"Apr 08, 2020","13.12","13.08","13.26","12.88","5.21M","0.37%"
"Apr 07, 2020","13.07","13.78","13.88","13.07","9.77M","-3.48%"
"Apr 06, 2020","13.54","13.16","13.62","13.16","5.48M","4.52%"
"Apr 03, 2020","12.95","12.97","13.11","12.86","3.33M","0.52%"
"Apr 02, 2020","12.89","12.74","12.98","12.51","6.53M","2.68%"
"Apr 01, 2020","12.55","12.04","12.87","11.98","11.35M","2.91%"
"Mar 31, 2020","12.20","11.86","12.29","11.86","7.73M","3.84%"
"Mar 30, 2020","11.74","11.83","11.92","11.67","3.84M","-4.60%"
"Mar 27, 2020","12.31","12.76","13.17","12.30","7.09M","-3.38%"
"Mar 26, 2020","12.74","12.47","12.88","12.32","5.24M","2.33%"
"Mar 25, 2020","12.45","12.52","12.82","12.32","6.19M","0.40%"
"Mar 24, 2020","12.40","12.06","12.45","12.04","5.35M","6.44%"
"Mar 23, 2020","11.65","11.70","12.10","11.56","3.01M","-3.24%"
"Mar 20, 2020","12.04","12.20","12.28","12.04","3.46M","0.84%"
"Mar 19, 2020","11.94","12.06","12.32","11.94","3.18M","-1.73%"
"Mar 18, 2020","12.15","11.79","12.41","11.79","3.95M","-0.82%"
"Mar 17, 2020","12.25","12.25","12.43","11.61","6.04M","0.16%"
"Mar 16, 2020","12.23","12.01","12.55","11.65","3.64M","-5.19%"
"Mar 13, 2020","12.90","11.94","13.17","11.67","6.08M","7.41%"
"Mar 12, 2020","12.01","12.38","12.38","11.75","7.19M","-6.03%"
"Mar 11, 2020","12.78","13.30","13.52","12.60","5.48M","-5.26%"
"Mar 10, 2020","13.49","14.31","14.62","13.49","4.01M","-3.64%"
"Mar 09, 2020","14.00","14.85","14.85","13.49","4.55M","-8.20%"
"Mar 06, 2020","15.25","15.70","15.73","15.25","3.00M","-3.11%"
"Mar 05, 2020","15.74","15.60","15.93","15.56","3.63M","1.42%"
"Mar 04, 2020","15.52","15.83","15.85","15.52","4.42M","-1.96%"
"Mar 03, 2020","15.83","15.54","15.83","15.53","5.01M","2.73%"
"Mar 02, 2020","15.41","15.39","15.52","15.25","5.30M","3.77%"
"Feb 28, 2020","14.85","12.76","15.42","12.76","6.45M","-5.59%"
"Feb 27, 2020","15.73","16.67","16.75","15.71","9.90M","-6.59%"
"Feb 26, 2020","16.84","16.65","16.90","16.60","6.83M","0.66%"
"Feb 25, 2020","16.73","16.86","16.95","16.56","8.01M","-0.12%"
"Feb 24, 2020","16.75","16.87","16.87","16.59","6.32M","-1.76%"
"Feb 21, 2020","17.05","16.80","17.18","16.72","16.55M","-3.18%"
"Feb 20, 2020","17.61","18.56","18.58","17.55","12.66M","-4.96%"
"Feb 19, 2020","18.53","18.61","18.75","18.48","7.88M","-0.32%"
"Feb 18, 2020","18.59","18.80","18.92","18.45","8.55M","-1.38%"
"Feb 17, 2020","18.85","19.14","19.20","18.85","7.32M","-0.53%"
"Feb 14, 2020","18.95","18.92","19.25","18.80","12.02M","0.42%"
"Feb 13, 2020","18.87","18.76","19.04","18.52","9.79M","0.59%"
"Feb 12, 2020","18.76","18.44","18.77","18.21","11.40M","2.29%"
"Feb 11, 2020","18.34","18.42","18.47","17.93","10.05M","0.22%"
"Feb 10, 2020","18.30","19.14","19.20","17.91","17.13M","-4.39%"
"Feb 07, 2020","19.14","19.34","19.45","19.09","8.45M","-0.98%"
"Feb 06, 2020","19.33","19.51","19.83","19.27","9.32M","-0.26%"
"Feb 05, 2020","19.38","19.53","19.67","19.37","7.97M","-0.62%"
"Feb 04, 2020","19.50","19.27","19.50","19.20","10.62M","1.88%"
"Feb 03, 2020","19.14","19.25","19.35","19.13","4.67M","-0.57%"
"Jan 31, 2020","19.25","19.40","19.43","19.19","6.65M","-0.26%"
"Jan 30, 2020","19.30","19.46","19.53","19.24","6.30M","-1.53%"
"Jan 29, 2020","19.60","19.95","19.97","19.60","5.36M","-1.26%"
"Jan 28, 2020","19.85","19.51","19.92","19.49","8.95M","2.16%"
"Jan 27, 2020","19.43","19.76","19.77","19.39","5.94M","-2.36%"
