"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","29.14","29.38","29.60","28.94","2.76M","0.00%"
"Nov 26, 2020","29.14","29.70","29.74","28.90","2.49M","-1.55%"
"Nov 25, 2020","29.60","30.10","30.20","29.36","3.01M","-0.67%"
"Nov 24, 2020","29.80","29.36","30.60","29.34","6.09M","1.71%"
"Nov 23, 2020","29.30","29.70","29.96","28.78","4.55M","0.27%"
"Nov 20, 2020","29.22","28.32","29.40","28.14","5.57M","4.13%"
"Nov 19, 2020","28.06","27.14","28.12","26.94","4.73M","3.47%"
"Nov 18, 2020","27.12","26.78","27.30","26.62","2.98M","0.97%"
"Nov 17, 2020","26.86","27.58","27.64","26.66","3.25M","-2.61%"
"Nov 16, 2020","27.58","27.20","27.86","27.08","4.21M","2.91%"
"Nov 13, 2020","26.80","26.60","27.12","26.48","4.54M","1.90%"
"Nov 12, 2020","26.30","27.40","28.06","26.14","6.44M","-3.80%"
"Nov 11, 2020","27.34","27.88","28.04","27.24","3.46M","-1.01%"
"Nov 10, 2020","27.62","27.82","28.40","27.48","2.56M","-0.72%"
"Nov 09, 2020","27.82","28.48","29.28","27.72","4.67M","-1.35%"
"Nov 06, 2020","28.20","27.72","28.50","27.64","3.96M","2.10%"
"Nov 05, 2020","27.62","27.56","28.18","27.56","3.19M","0.51%"
"Nov 04, 2020","27.48","27.28","28.14","27.02","6.01M","1.55%"
"Nov 03, 2020","27.06","26.92","27.44","26.78","3.80M","0.82%"
"Nov 02, 2020","26.84","26.66","27.54","26.38","3.86M","0.45%"
"Oct 30, 2020","26.72","25.00","26.72","24.32","5.62M","4.78%"
"Oct 28, 2020","25.50","26.20","26.32","25.44","1.47M","-3.26%"
"Oct 27, 2020","26.36","27.08","27.08","25.74","4.39M","-4.70%"
"Oct 26, 2020","27.66","28.08","28.36","27.34","3.95M","-1.50%"
"Oct 23, 2020","28.08","27.78","28.12","27.50","2.22M","0.93%"
"Oct 22, 2020","27.82","27.80","27.82","26.82","2.88M","0.51%"
"Oct 21, 2020","27.68","28.22","28.38","27.68","2.84M","-1.84%"
"Oct 20, 2020","28.20","27.40","28.48","27.26","3.57M","3.22%"
"Oct 19, 2020","27.32","27.20","27.36","27.00","1.55M","0.81%"
"Oct 16, 2020","27.10","27.32","27.42","27.00","1.50M","-0.73%"
"Oct 15, 2020","27.30","27.38","27.38","26.92","1.55M","-0.29%"
