"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2.410","2.650","2.660","2.410","281.52M","-9.74%"
"Nov 26, 2020","2.670","2.710","2.770","2.620","229.90M","-1.48%"
"Nov 25, 2020","2.710","2.620","2.790","2.560","510.99M","3.83%"
"Nov 24, 2020","2.610","2.440","2.610","2.430","440.10M","9.66%"
"Nov 23, 2020","2.380","2.230","2.380","2.220","275.98M","7.21%"
"Nov 20, 2020","2.220","2.170","2.280","2.150","222.75M","2.30%"
"Nov 19, 2020","2.170","2.150","2.260","2.090","205.04M","0.93%"
"Nov 18, 2020","2.150","2.140","2.200","2.090","180.32M","1.42%"
"Nov 17, 2020","2.120","2.240","2.240","2.100","171.22M","-6.19%"
"Nov 16, 2020","2.260","2.320","2.330","2.230","137.49M","-1.74%"
"Nov 13, 2020","2.300","2.240","2.380","2.210","365.25M","3.14%"
"Nov 12, 2020","2.230","2.210","2.260","2.180","156.54M","1.36%"
"Nov 11, 2020","2.200","2.200","2.290","2.170","335.60M","0.92%"
"Nov 10, 2020","2.180","2.150","2.230","2.130","159.29M","0.46%"
"Nov 09, 2020","2.170","2.170","2.250","2.140","270.25M","1.88%"
"Nov 06, 2020","2.130","2.140","2.330","2.100","898.33M","0.47%"
"Nov 05, 2020","2.120","2.070","2.180","1.970","445.51M","2.42%"
"Nov 04, 2020","2.070","2.230","2.250","2.070","501.08M","-10.00%"
"Nov 03, 2020","2.300","2.450","2.520","2.300","394.39M","-9.80%"
"Nov 02, 2020","2.550","2.620","2.690","2.490","2.07B","0.00%"
"Oct 30, 2020","2.550","2.390","2.550","2.090","3.30B","9.91%"
"Oct 28, 2020","2.320","2.210","2.320","2.210","437.75M","9.95%"
"Oct 27, 2020","2.110","1.940","2.110","1.930","1.08B","9.90%"
"Oct 26, 2020","1.920","1.810","1.960","1.780","1.80B","5.49%"
"Oct 23, 2020","1.820","1.750","1.870","1.680","1.31B","5.20%"
"Oct 22, 2020","1.730","1.720","1.850","1.600","1.81B","2.37%"
"Oct 21, 2020","1.690","1.690","1.690","1.620","459.12M","9.74%"
"Oct 20, 2020","1.540","1.540","1.540","1.500","65.37M","10.00%"
"Oct 19, 2020","1.400","1.300","1.400","1.300","162.06M","9.38%"
"Oct 16, 2020","1.280","1.190","1.290","1.170","371.13M","8.47%"
"Oct 15, 2020","1.180","1.170","1.200","1.170","172.39M","0.85%"
"Oct 14, 2020","1.170","1.140","1.190","1.140","265.03M","2.63%"
"Oct 13, 2020","1.140","1.140","1.140","1.120","119.05M","0.88%"
"Oct 12, 2020","1.130","1.120","1.150","1.110","230.42M","0.89%"
"Oct 09, 2020","1.120","1.100","1.130","1.090","133.21M","2.75%"
"Oct 08, 2020","1.090","1.110","1.110","1.090","41.99M","-1.80%"
"Oct 07, 2020","1.110","1.100","1.110","1.090","50.64M","0.00%"
"Oct 06, 2020","1.110","1.120","1.130","1.100","89.04M","-0.89%"
"Oct 05, 2020","1.120","1.100","1.120","1.100","45.22M","1.82%"
"Oct 02, 2020","1.100","1.100","1.110","1.090","48.57M","0.00%"
"Oct 01, 2020","1.100","1.120","1.120","1.090","68.29M","-0.90%"
"Sep 30, 2020","1.110","1.090","1.110","1.090","57.04M","2.78%"
"Sep 29, 2020","1.080","1.090","1.110","1.080","49.93M","-0.92%"
"Sep 28, 2020","1.090","1.110","1.120","1.090","45.04M","-2.68%"
"Sep 25, 2020","1.120","1.130","1.140","1.110","78.37M","0.90%"
"Sep 24, 2020","1.110","1.070","1.130","1.070","124.66M","1.83%"
"Sep 23, 2020","1.090","1.060","1.090","1.050","79.36M","3.81%"
"Sep 22, 2020","1.050","1.050","1.060","1.040","36.54M","0.00%"
"Sep 21, 2020","1.050","1.080","1.090","1.040","80.06M","-2.78%"
"Sep 18, 2020","1.080","1.090","1.090","1.070","31.78M","0.00%"
"Sep 17, 2020","1.080","1.090","1.090","1.070","96.40M","-0.92%"
"Sep 16, 2020","1.090","1.090","1.100","1.080","23.21M","0.00%"
"Sep 15, 2020","1.090","1.100","1.110","1.080","103.03M","0.00%"
"Sep 14, 2020","1.090","1.100","1.100","1.090","23.53M","-0.91%"
"Sep 11, 2020","1.100","1.100","1.110","1.090","49.41M","0.92%"
"Sep 10, 2020","1.090","1.090","1.110","1.080","132.20M","0.93%"
"Sep 09, 2020","1.080","1.080","1.090","1.080","15.66M","0.00%"
"Sep 08, 2020","1.080","1.100","1.110","1.080","45.39M","-1.82%"
"Sep 07, 2020","1.100","1.100","1.110","1.090","35.35M","0.00%"
"Sep 04, 2020","1.100","1.090","1.100","1.070","63.91M","0.92%"
