"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","20.680","20.160","21.200","20.100","10.35M","3.40%"
"Nov 26, 2020","20.000","20.020","20.160","19.830","2.67M","0.20%"
"Nov 25, 2020","19.960","20.200","20.400","19.960","4.20M","-0.40%"
"Nov 24, 2020","20.040","20.000","20.380","19.920","4.90M","0.40%"
"Nov 23, 2020","19.960","20.100","20.680","19.610","7.22M","-0.20%"
"Nov 20, 2020","20.000","19.620","20.080","19.520","5.59M","2.77%"
"Nov 19, 2020","19.460","19.530","19.620","19.110","4.38M","0.00%"
"Nov 18, 2020","19.460","19.320","19.800","19.250","3.73M","0.62%"
"Nov 17, 2020","19.340","19.810","20.140","19.310","6.12M","-1.83%"
"Nov 16, 2020","19.700","20.600","20.760","19.600","6.98M","-1.79%"
"Nov 13, 2020","20.060","20.220","20.540","19.850","10.46M","-0.69%"
"Nov 12, 2020","20.200","20.120","21.140","19.940","11.33M","1.51%"
"Nov 11, 2020","19.900","20.300","20.620","19.590","6.24M","-1.87%"
"Nov 10, 2020","20.280","20.080","20.780","19.800","7.79M","0.90%"
"Nov 09, 2020","20.100","19.290","20.960","19.190","14.20M","4.74%"
"Nov 06, 2020","19.190","18.500","19.240","18.470","7.91M","3.90%"
"Nov 05, 2020","18.470","17.900","18.500","17.830","5.19M","3.24%"
"Nov 04, 2020","17.890","16.940","17.910","16.910","5.67M","6.24%"
"Nov 03, 2020","16.840","16.470","17.270","16.470","4.54M","2.43%"
"Nov 02, 2020","16.440","16.600","16.800","16.360","4.69M","-0.78%"
"Oct 30, 2020","16.570","17.000","17.430","16.160","3.11M","-3.16%"
"Oct 28, 2020","17.110","17.960","18.020","17.110","2.14M","-5.05%"
"Oct 27, 2020","18.020","18.070","18.370","17.910","5.71M","-0.72%"
"Oct 26, 2020","18.150","18.200","18.520","17.820","9.34M","-0.17%"
"Oct 23, 2020","18.180","18.360","18.590","18.000","4.56M","-0.87%"
"Oct 22, 2020","18.340","18.500","18.550","18.230","5.00M","-0.27%"
