"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2.990","3.100","3.120","2.970","367.96M","-2.61%"
"Nov 26, 2020","3.070","3.040","3.090","3.000","501.27M","1.99%"
"Nov 25, 2020","3.010","3.010","3.070","2.980","404.53M","1.35%"
"Nov 24, 2020","2.970","2.960","3.110","2.910","837.15M","1.02%"
"Nov 23, 2020","2.940","3.070","3.080","2.910","349.53M","-4.85%"
"Nov 20, 2020","3.090","3.100","3.170","3.030","745.51M","-0.64%"
"Nov 19, 2020","3.110","2.920","3.180","2.850","1.77B","6.14%"
"Nov 18, 2020","2.930","2.690","2.930","2.670","1.21B","9.74%"
"Nov 17, 2020","2.670","2.860","2.860","2.660","464.66M","-6.64%"
"Nov 16, 2020","2.860","2.950","2.970","2.850","390.41M","-1.38%"
"Nov 13, 2020","2.900","2.810","2.940","2.750","730.08M","4.69%"
"Nov 12, 2020","2.770","2.900","2.980","2.760","1.19B","-1.07%"
"Nov 11, 2020","2.800","2.580","2.800","2.570","559.81M","9.80%"
"Nov 10, 2020","2.550","2.410","2.550","2.400","516.66M","3.24%"
"Nov 09, 2020","2.470","2.430","2.530","2.400","603.20M","6.01%"
"Nov 06, 2020","2.330","2.290","2.340","2.280","251.07M","1.30%"
"Nov 05, 2020","2.300","2.320","2.350","2.260","200.52M","-0.86%"
"Nov 04, 2020","2.320","2.330","2.370","2.290","312.67M","-0.43%"
"Nov 03, 2020","2.330","2.210","2.340","2.190","306.56M","6.39%"
"Nov 02, 2020","2.190","2.170","2.220","2.160","173.64M","1.86%"
"Oct 30, 2020","2.150","2.110","2.150","2.100","171.16M","0.47%"
"Oct 28, 2020","2.140","2.150","2.180","2.130","99.28M","-0.93%"
"Oct 27, 2020","2.160","2.110","2.180","2.090","264.62M","3.35%"
"Oct 26, 2020","2.090","2.190","2.200","2.090","210.26M","-5.86%"
"Oct 23, 2020","2.220","2.250","2.280","2.190","184.16M","-1.33%"
"Oct 22, 2020","2.250","2.390","2.400","2.240","337.47M","-5.46%"
"Oct 21, 2020","2.380","2.420","2.430","2.340","249.06M","0.00%"
"Oct 20, 2020","2.380","2.310","2.390","2.310","290.45M","3.03%"
"Oct 19, 2020","2.310","2.230","2.340","2.220","255.52M","4.52%"
"Oct 16, 2020","2.210","2.150","2.210","2.140","219.37M","3.27%"
"Oct 15, 2020","2.140","2.170","2.180","2.130","93.40M","-1.38%"
"Oct 14, 2020","2.170","2.160","2.180","2.150","113.85M","0.46%"
"Oct 13, 2020","2.160","2.180","2.190","2.150","137.68M","-0.92%"
"Oct 12, 2020","2.180","2.160","2.190","2.150","142.93M","1.40%"
"Oct 09, 2020","2.150","2.120","2.150","2.120","105.03M","1.42%"
"Oct 08, 2020","2.120","2.140","2.150","2.100","110.83M","-0.93%"
"Oct 07, 2020","2.140","2.130","2.140","2.110","118.78M","0.00%"
"Oct 06, 2020","2.140","2.150","2.160","2.130","153.02M","-0.47%"
"Oct 05, 2020","2.150","2.140","2.150","2.130","60.12M","0.94%"
"Oct 02, 2020","2.130","2.130","2.150","2.120","110.72M","-0.47%"
"Oct 01, 2020","2.140","2.140","2.160","2.120","131.38M","0.47%"
"Sep 30, 2020","2.130","2.090","2.130","2.080","155.82M","3.40%"
"Sep 29, 2020","2.060","2.080","2.100","2.030","139.64M","-0.48%"
