"Date","Price","Open","High","Low","Change %"
"Nov 27, 2020","12.890","12.890","12.890","12.890","0.08%"
"Nov 26, 2020","12.880","12.880","12.880","12.880","0.00%"
"Nov 25, 2020","12.880","12.880","12.880","12.880","1.90%"
"Nov 20, 2020","12.640","12.520","12.700","12.520","0.96%"
"Nov 19, 2020","12.520","12.630","12.640","12.410","-1.96%"
"Nov 18, 2020","12.770","12.770","12.770","12.770","-3.11%"
"Nov 13, 2020","13.180","13.180","13.180","13.180","0.00%"
"Nov 12, 2020","13.180","13.430","13.430","13.180","-4.15%"
"Nov 11, 2020","13.750","13.750","13.750","13.750","-7.78%"
"Nov 06, 2020","14.910","14.910","14.910","14.910","0.00%"
"Nov 05, 2020","14.910","14.910","14.910","14.910","0.00%"
"Nov 04, 2020","14.910","14.710","14.910","14.710","1.36%"
"Nov 03, 2020","14.710","14.710","14.710","14.710","1.31%"
"Oct 30, 2020","14.520","14.100","14.520","14.100","3.05%"
"Oct 27, 2020","14.090","14.160","14.160","14.090","0.50%"
"Oct 23, 2020","14.020","14.020","14.020","13.560","3.62%"
"Oct 21, 2020","13.530","13.670","13.670","13.440","-1.02%"
"Oct 20, 2020","13.670","13.670","13.670","13.530","0.00%"
"Oct 19, 2020","13.670","13.660","13.670","13.530","1.03%"
"Oct 16, 2020","13.530","13.610","13.610","13.520","-0.59%"
"Oct 15, 2020","13.610","13.420","13.610","13.420","1.42%"
"Oct 14, 2020","13.420","13.190","13.510","13.190","1.74%"
"Oct 13, 2020","13.190","13.320","13.320","13.190","-1.57%"
"Oct 09, 2020","13.400","12.950","13.400","12.950","3.47%"
"Oct 08, 2020","12.950","12.950","12.950","12.950","-0.84%"
"Oct 07, 2020","13.060","13.170","13.170","13.060","2.75%"
"Oct 02, 2020","12.710","12.710","12.710","12.710","-1.70%"
"Oct 01, 2020","12.930","12.930","12.930","12.930","0.00%"
"Sep 30, 2020","12.930","12.930","12.930","12.930","-1.60%"
"Sep 29, 2020","13.140","13.140","13.140","13.140","2.42%"
"Sep 25, 2020","12.830","13.460","13.460","12.820","-4.61%"
"Sep 21, 2020","13.450","13.450","13.450","13.450","0.60%"
"Sep 18, 2020","13.370","12.990","13.370","12.990","3.00%"
"Sep 15, 2020","12.980","12.870","12.980","12.830","0.15%"
"Sep 14, 2020","12.960","13.200","13.200","12.960","-2.19%"
"Sep 11, 2020","13.250","13.300","13.300","13.250","-0.38%"
"Sep 10, 2020","13.300","13.380","13.380","13.300","-0.60%"
"Sep 09, 2020","13.380","13.380","13.380","13.380","0.07%"
