"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","5,115.0","5,007.0","5,170.0","4,970.2","989.01K","2.60%"
"Nov 26, 2020","4,985.2","4,940.0","5,034.8","4,915.8","621.38K","0.79%"
"Nov 25, 2020","4,946.0","4,950.2","4,960.0","4,846.0","837.65K","0.21%"
"Nov 24, 2020","4,935.8","4,711.0","4,966.6","4,695.4","1.52M","5.29%"
"Nov 23, 2020","4,687.6","4,750.0","4,783.0","4,680.0","612.11K","-1.22%"
"Nov 20, 2020","4,745.6","4,743.6","4,792.8","4,720.0","335.37K","0.06%"
"Nov 19, 2020","4,742.6","4,696.0","4,755.0","4,678.0","353.10K","1.10%"
"Nov 18, 2020","4,691.2","4,672.0","4,750.0","4,641.2","504.34K","0.24%"
"Nov 17, 2020","4,680.0","4,738.0","4,765.0","4,632.0","464.65K","-1.17%"
"Nov 16, 2020","4,735.2","4,805.2","4,839.8","4,705.2","691.52K","-1.33%"
"Nov 13, 2020","4,799.0","4,748.8","4,799.8","4,732.0","382.39K","1.70%"
"Nov 12, 2020","4,718.8","4,708.8","4,775.0","4,703.0","596.13K","-0.13%"
"Nov 11, 2020","4,724.8","4,726.6","4,813.6","4,666.2","1.63M","0.61%"
"Nov 10, 2020","4,696.0","4,975.0","4,986.0","4,696.0","1.65M","-5.80%"
"Nov 09, 2020","4,985.4","4,988.8","5,077.8","4,933.4","1.83M","1.19%"
"Nov 06, 2020","4,927.0","4,831.6","4,934.4","4,780.0","1.02M","1.49%"
"Nov 05, 2020","4,854.8","4,765.4","4,867.0","4,710.2","1.50M","5.75%"
"Nov 03, 2020","4,591.0","4,602.0","4,627.8","4,536.0","859.05K","0.04%"
"Nov 02, 2020","4,589.2","4,560.0","4,685.0","4,543.4","844.10K","0.62%"
"Oct 30, 2020","4,561.0","4,597.6","4,619.6","4,515.0","652.28K","-1.64%"
"Oct 29, 2020","4,637.2","4,600.0","4,655.0","4,584.4","995.35K","1.12%"
"Oct 28, 2020","4,586.0","4,590.0","4,637.0","4,500.0","1.39M","-0.32%"
"Oct 27, 2020","4,600.8","4,499.8","4,623.0","4,475.6","902.13K","2.15%"
"Oct 26, 2020","4,504.0","4,499.8","4,540.6","4,450.2","624.26K","-0.42%"
"Oct 23, 2020","4,523.2","4,441.0","4,529.8","4,435.2","766.44K","1.53%"
"Oct 22, 2020","4,455.0","4,400.0","4,508.6","4,373.0","1.49M","1.02%"
"Oct 21, 2020","4,410.2","4,352.8","4,440.0","4,263.6","1.86M","1.62%"
"Oct 20, 2020","4,340.0","4,465.0","4,494.0","4,311.4","1.49M","-2.63%"
"Oct 19, 2020","4,457.0","4,551.8","4,571.8","4,427.2","1.43M","-1.61%"
"Oct 16, 2020","4,530.0","4,754.0","4,779.8","4,503.0","2.24M","-4.72%"
"Oct 15, 2020","4,754.4","4,755.4","4,780.0","4,677.0","1.01M","-0.37%"
"Oct 14, 2020","4,772.0","4,845.2","4,885.4","4,752.0","869.09K","-1.38%"
"Oct 13, 2020","4,838.8","4,750.4","4,855.0","4,736.8","1.23M","1.66%"
"Oct 12, 2020","4,759.8","4,697.8","4,794.0","4,685.0","966.09K","1.64%"
"Oct 09, 2020","4,683.0","4,732.2","4,766.0","4,620.8","1.09M","-0.67%"
"Oct 08, 2020","4,714.6","4,804.0","4,816.6","4,690.2","905.13K","-1.36%"
"Oct 07, 2020","4,779.4","4,891.8","4,902.8","4,740.0","981.49K","-1.84%"
"Oct 06, 2020","4,869.0","4,992.0","4,999.2","4,833.4","1.01M","-2.23%"
"Oct 05, 2020","4,980.0","4,938.0","5,010.0","4,872.2","817.00K","1.49%"
"Oct 02, 2020","4,907.0","4,908.0","4,988.6","4,844.8","1.20M","-0.44%"
"Oct 01, 2020","4,928.8","5,070.0","5,108.6","4,902.0","1.21M","-2.63%"
"Sep 30, 2020","5,062.0","5,078.4","5,106.8","5,022.4","704.85K","-0.65%"
"Sep 29, 2020","5,095.0","5,071.0","5,131.0","4,940.0","1.48M","0.30%"
"Sep 28, 2020","5,080.0","4,958.0","5,119.8","4,941.8","1.76M","2.96%"
"Sep 25, 2020","4,934.0","4,800.0","4,959.8","4,710.0","1.84M","3.33%"
"Sep 24, 2020","4,775.0","5,016.6","5,045.8","4,763.4","2.95M","-4.66%"
"Sep 23, 2020","5,008.6","4,980.8","5,653.2","4,941.6","13.06M","2.22%"
"Sep 22, 2020","4,900.0","4,534.0","4,900.0","4,490.0","3.10M","8.22%"
"Sep 21, 2020","4,527.8","4,627.0","4,627.0","4,488.2","1.00M","-2.17%"
"Sep 18, 2020","4,628.0","4,581.0","4,643.6","4,552.0","1.02M","0.72%"
"Sep 17, 2020","4,595.0","4,606.8","4,614.0","4,483.4","1.64M","-0.91%"
"Sep 16, 2020","4,637.0","4,704.6","4,719.6","4,608.0","901.20K","-1.04%"
"Sep 15, 2020","4,685.8","4,730.0","4,836.8","4,656.0","1.76M","-0.93%"
"Sep 14, 2020","4,730.0","4,679.8","4,760.0","4,665.2","1.13M","1.46%"
"Sep 11, 2020","4,662.0","4,629.8","4,692.2","4,572.2","1.50M","1.40%"
"Sep 10, 2020","4,597.8","4,740.0","4,775.0","4,585.0","1.79M","-3.07%"
"Sep 09, 2020","4,743.4","4,698.8","4,759.0","4,650.0","1.69M","1.57%"
"Sep 08, 2020","4,670.2","4,980.6","5,035.0","4,660.2","3.25M","-6.13%"
"Sep 07, 2020","4,975.0","4,845.0","4,997.8","4,810.0","1.27M","1.84%"
"Sep 04, 2020","4,885.0","4,885.8","4,993.8","4,766.0","2.80M","-0.67%"
"Sep 03, 2020","4,917.8","5,043.0","5,106.0","4,870.0","2.59M","-3.00%"
"Sep 02, 2020","5,070.0","5,070.0","5,118.2","4,943.0","2.46M","0.74%"
"Sep 01, 2020","5,033.0","5,080.0","5,177.0","4,984.8","3.63M","-1.11%"
"Aug 31, 2020","5,089.4","4,890.6","5,165.0","4,881.0","22.77M","5.04%"
"Aug 28, 2020","4,845.0","4,870.2","4,928.2","4,761.0","2.43M","0.05%"
"Aug 27, 2020","4,842.8","4,993.6","5,022.8","4,791.0","2.61M","-2.63%"
"Aug 26, 2020","4,973.6","5,060.4","5,135.8","4,816.4","3.78M","-1.61%"
"Aug 25, 2020","5,055.0","4,920.0","5,078.2","4,890.6","2.62M","2.88%"
"Aug 24, 2020","4,913.4","4,800.0","4,920.0","4,770.2","2.31M","2.96%"
"Aug 21, 2020","4,772.0","4,725.0","4,823.8","4,717.6","2.53M","1.53%"
"Aug 20, 2020","4,700.0","4,594.8","4,760.0","4,586.0","2.99M","1.73%"
"Aug 19, 2020","4,620.0","4,513.0","4,624.4","4,505.4","1.96M","2.60%"
"Aug 18, 2020","4,503.0","4,491.6","4,548.0","4,464.4","1.98M","0.07%"
"Aug 17, 2020","4,500.0","4,409.8","4,534.6","4,406.0","2.53M","2.52%"
"Aug 14, 2020","4,389.6","4,406.6","4,459.8","4,370.4","2.20M","0.54%"
"Aug 13, 2020","4,366.0","4,411.0","4,554.2","4,317.4","3.74M","1.80%"
"Aug 12, 2020","4,288.8","4,208.2","4,330.0","4,182.0","1.22M","2.46%"
"Aug 11, 2020","4,185.8","4,228.2","4,329.0","4,135.2","1.32M","-0.46%"
"Aug 10, 2020","4,205.0","4,381.0","4,396.0","4,173.8","846.70K","-3.56%"
"Aug 07, 2020","4,360.0","4,394.0","4,443.6","4,321.0","565.76K","-1.22%"
"Aug 06, 2020","4,413.8","4,335.0","4,417.6","4,330.2","431.27K","1.70%"
"Aug 05, 2020","4,340.2","4,333.2","4,355.0","4,310.0","508.68K","0.65%"
"Aug 04, 2020","4,312.0","4,304.0","4,348.8","4,280.2","343.98K","0.55%"
"Aug 03, 2020","4,288.6","4,261.2","4,328.8","4,242.6","546.61K","0.74%"
"Jul 31, 2020","4,257.0","4,213.0","4,267.6","4,180.2","810.85K","1.57%"
"Jul 30, 2020","4,191.0","4,182.2","4,196.8","4,104.4","548.73K","0.08%"
